trial_id,chord_index,Symbol,Order,IC,Entropy,Function
1_18_O,3,#io,2,7.349195773,3.883150504,diff
1_18_O,4,ii,2,1.137883918,3.507431803,diff
1_18_O,5,#io,3,7.790566478,4.12006539,diff
1_18_O,6,ii,1,2.740837217,4.526591739,diff
1_18_O,7,ii,2,3.165036417,4.816686399,diff
1_18_O,8,V,3,4.120804858,4.445939184,diff
1_18_O,9,V,3,2.574061123,4.253003081,diff
1_18_O,10,iii,4,4.814689029,4.100789225,diff
1_18_S,0,V,3,2.882847017,4.422646591,diff
1_18_S,1,II,4,5.428882434,4.701666993,diff
1_18_S,2,iii,3,6.315658578,4.582834969,diff
1_18_S,3,#io,2,7.349195773,3.883150504,diff
1_18_S,4,ii,2,1.137883918,3.507431803,diff
1_18_S,5,V+,3,7.790566478,4.12006539,diff
1_18_S,6,ii,1,6.236044368,4.732960528,diff
1_18_S,7,ii,1,4.36312273,5.120787058,diff
1_18_S,8,V,2,3.771258154,4.976862111,diff
1_18_S,9,V,3,2.574061123,4.253003081,diff
1_18_S,10,iii,4,4.814689029,4.100789225,diff
1_29_O,0,iv,2,3.432598208,4.623874122,diff
1_29_O,1,-III,3,4.953294563,4.515126098,diff
1_29_O,2,-vii,3,6.614425345,4.908530818,diff
1_29_O,3,I,2,5.711208121,3.387914115,diff
1_29_O,4,I,2,4.943615725,4.959501598,diff
1_29_O,5,#I,2,6.849432623,5.154036744,diff
1_29_O,6,#I,2,1.222838547,3.676792711,diff
1_29_O,7,II,3,1.008227553,3.130202718,diff
1_29_O,8,II,2,1.23723238,3.899986672,diff
1_29_O,9,#II,4,8.148955951,4.197098172,diff
1_29_O,10,#II,0,6.713522181,5.101330561,diff
1_29_S,0,iv,2,3.432598208,4.623874122,diff
1_29_S,1,-III,3,4.953294563,4.515126098,diff
1_29_S,2,-vii,3,6.614425345,4.908530818,diff
1_29_S,3,I,2,5.711208121,3.387914115,diff
1_29_S,4,I,2,4.943615725,4.959501598,diff
1_29_S,5,ivo,2,6.849432623,5.154036744,diff
1_29_S,6,#I,2,7.219987207,4.167272574,diff
1_29_S,7,II,1,3.160945809,4.693772279,diff
1_29_S,8,II,2,1.23723238,3.899986672,diff
1_29_S,9,#II,3,7.819428413,4.710131505,diff
1_29_S,10,#II,0,6.713522181,5.101330561,diff
2_14_O,0,II,7,4.976741572,4.681977862,same
2_14_O,1,V,4,0.5340987918,2.465682574,same
2_14_O,2,I,8,1.891262873,4.300370488,same
2_14_O,3,IV,9,2.541591344,4.808225765,same
2_14_O,4,I,7,0.8638151729,3.186495745,same
2_14_O,5,V+,6,8.049121377,3.639555553,same
2_14_O,6,I,1,3.793045482,5.207060192,same
2_14_O,7,IV,2,4.301337152,5.272412559,same
2_14_O,8,I,3,4.592055069,5.061006711,same
2_14_O,9,I,3,3.962541462,5.306896587,same
2_14_O,10,IV,4,4.054971171,5.236986381,same
2_14_S,0,II,7,4.976741572,4.681977862,same
2_14_S,1,V,4,0.5340987918,2.465682574,same
2_14_S,2,I,8,1.891262873,4.300370488,same
2_14_S,3,IV,9,2.541591344,4.808225765,same
2_14_S,4,I,7,0.8638151729,3.186495745,same
2_14_S,5,-V,6,8.049121377,3.639555553,same
2_14_S,6,I,1,5.03763517,5.402441086,same
2_14_S,7,IV,2,5.428224124,5.172707439,same
2_14_S,8,I,2,4.332751267,5.379991779,same
2_14_S,9,I,3,3.962541462,5.306896587,same
2_14_S,10,IV,4,4.054971171,5.236986381,same
2_20_O,0,I,5,2.410412989,4.885346012,diff
2_20_O,1,I,6,1.849036775,4.390264316,diff
2_20_O,2,IV,7,3.292950283,4.676006402,diff
2_20_O,3,IV,7,2.112240929,4.486370521,diff
2_20_O,4,V,8,3.357395643,4.764408863,diff
2_20_O,5,#IV,9,8.627409516,3.17874493,diff
2_20_O,6,V,2,2.858096142,4.860656852,diff
2_20_O,7,I,3,5.473779002,4.606338169,diff
2_20_O,8,I,2,4.509643678,5.456019778,diff
2_20_O,9,I,3,4.02649937,5.358034914,diff
2_20_O,10,I,4,3.265050196,5.192436856,diff
2_20_S,0,I,5,2.410412989,4.885346012,diff
2_20_S,1,I,6,1.849036775,4.390264316,diff
2_20_S,2,IV,7,3.292950283,4.676006402,diff
2_20_S,3,IV,7,2.112240929,4.486370521,diff
2_20_S,4,V,8,3.357395643,4.764408863,diff
2_20_S,5,vio,9,8.627409516,3.17874493,diff
2_20_S,6,V,2,4.857480484,4.540377077,diff
2_20_S,7,I,2,5.1027507,5.153240517,diff
2_20_S,8,I,2,4.509643678,5.456019778,diff
2_20_S,9,I,3,4.02649937,5.358034914,diff
2_20_S,10,I,4,3.265050196,5.192436856,diff
2_40_O,0,I,6,2.286661151,4.613582186,diff
2_40_O,1,IV,7,2.402621205,4.730148204,diff
2_40_O,2,V,8,1.120797348,3.191823123,diff
2_40_O,3,I,9,1.234271396,3.674196161,diff
2_40_O,4,IV,10,3.045116967,4.834656079,diff
2_40_O,5,-vio,10,10.66762064,1.54376757,diff
2_40_O,6,vi,1,6.202064081,5.216754948,diff
2_40_O,7,I,1,5.12423554,5.459869194,diff
2_40_O,8,IV,2,3.697211431,5.236700113,diff
2_40_O,9,V,3,3.892633351,5.18115641,diff
2_40_O,10,I,4,2.715116517,4.893784162,diff
2_40_S,0,I,6,2.286661151,4.613582186,diff
2_40_S,1,IV,7,2.402621205,4.730148204,diff
2_40_S,2,V,8,1.120797348,3.191823123,diff
2_40_S,3,I,9,1.234271396,3.674196161,diff
2_40_S,4,IV,10,3.045116967,4.834656079,diff
2_40_S,5,-ii,10,10.66762064,1.54376757,diff
2_40_S,6,vi,1,6.352070348,5.106758281,diff
2_40_S,7,I,1,5.12423554,5.459869194,diff
2_40_S,8,IV,2,3.697211431,5.236700113,diff
2_40_S,9,V,3,3.892633351,5.18115641,diff
2_40_S,10,I,4,2.715116517,4.893784162,diff
2_70_O,0,I,6,1.892639598,4.498990275,same
2_70_O,1,V,7,2.053600333,4.610023322,same
2_70_O,2,IV,8,2.124749617,4.382333838,same
2_70_O,3,V,9,1.725134923,4.123276653,same
2_70_O,4,I,10,1.424349956,3.997459319,same
2_70_O,5,III,10,8.77417927,1.597866797,same
2_70_O,6,IV,4,0.9777902915,3.217042075,same
2_70_O,7,V,5,1.016337907,3.359526927,same
2_70_O,8,I,6,2.430293058,4.774449924,same
2_70_O,9,V,7,4.960559407,4.708881,same
2_70_O,10,IV,4,3.351609166,4.780202978,same
2_70_S,0,I,6,1.892639598,4.498990275,same
2_70_S,1,V,7,2.053600333,4.610023322,same
2_70_S,2,IV,8,2.124749617,4.382333838,same
2_70_S,3,V,9,1.725134923,4.123276653,same
2_70_S,4,I,10,1.424349956,3.997459319,same
2_70_S,5,-III,10,8.776193132,1.597866797,same
2_70_S,6,IV,4,1.895987332,4.707430025,same
2_70_S,7,V,5,4.403844138,3.234612226,same
2_70_S,8,I,4,3.135504038,4.756022345,same
2_70_S,9,V,5,2.176648974,4.845843548,same
2_70_S,10,IV,6,3.890829101,4.023717246,same
3_7_O,0,V,7,0.1515966494,0.9263372017,diff
3_7_O,1,V,10,1.13120494,3.276014775,diff
3_7_O,2,I,10,3.032356582,3.530802736,diff
3_7_O,3,I,10,2.027449514,4.460298564,diff
3_7_O,4,I,9,0.8596479762,3.131384852,diff
3_7_O,5,I,10,1.93424817,3.810550753,diff
3_7_O,6,I,10,1.512779242,3.823945901,diff
3_7_O,7,I,10,0.9447750772,3.078232253,diff
3_7_O,8,IV,10,3.192874261,4.242271152,diff
3_7_O,9,IV,10,2.455049928,4.201752828,diff
3_7_O,10,V,10,5.135471248,2.541814706,diff
3_7_S,0,V,7,0.1515966494,0.9263372017,diff
3_7_S,1,V,10,1.13120494,3.276014775,diff
3_7_S,2,I,10,3.032356582,3.530802736,diff
3_7_S,3,I,10,2.027449514,4.460298564,diff
3_7_S,4,I,9,0.8596479762,3.131384852,diff
3_7_S,5,V,10,1.931912748,3.810550753,diff
3_7_S,6,I,10,3.33251247,2.836695351,diff
3_7_S,7,I,7,0.8995138296,3.136114242,diff
3_7_S,8,IV,9,3.643746105,4.136166478,diff
3_7_S,9,IV,8,2.574309747,4.560962494,diff
3_7_S,10,V,9,2.716189773,4.608025494,diff
3_15_O,0,I,5,2.863147456,4.98886868,same
3_15_O,1,IV,6,3.331409687,5.032266525,same
3_15_O,2,V,7,1.940488224,4.051514353,same
3_15_O,3,I,8,2.114184404,4.478664294,same
3_15_O,4,V,9,3.950289702,4.97055631,same
3_15_O,5,I,10,2.050099681,3.806458709,same
3_15_O,6,VI,8,6.576890422,4.100716575,same
3_15_O,7,IV,5,3.283200749,4.384480907,same
3_15_O,8,V,4,5.653174097,3.398289689,same
3_15_O,9,I,3,3.031055436,5.105102414,same
3_15_O,10,IV,4,4.669821508,5.130973741,same
3_15_S,0,I,5,2.863147456,4.98886868,same
3_15_S,1,IV,6,3.331409687,5.032266525,same
3_15_S,2,V,7,1.940488224,4.051514353,same
3_15_S,3,I,8,2.114184404,4.478664294,same
3_15_S,4,V,9,3.950289702,4.97055631,same
3_15_S,5,vi,10,2.067608309,3.806458709,same
3_15_S,6,VI,10,6.318137778,4.676865829,same
3_15_S,7,IV,3,4.461413056,4.913785284,same
3_15_S,8,V,3,3.79652722,5.066670126,same
3_15_S,9,I,4,1.816956387,4.588999349,same
3_15_S,10,IV,4,4.669821508,5.130973741,same
3_16_O,0,-VII,8,1.323245823,3.598910915,same
3_16_O,1,i,9,2.773006653,3.791801494,same
3_16_O,2,i,9,1.426069556,3.853393903,same
3_16_O,3,-VII,10,1.242978456,3.464563651,same
3_16_O,4,-VII,10,1.12451185,3.251413447,same
3_16_O,5,i,10,1.943975318,3.921003878,same
3_16_O,6,i,10,1.629755881,4.035269719,same
3_16_O,7,-VII,10,1.242978456,3.464563651,same
3_16_O,8,-VII,10,1.12451185,3.251413447,same
3_16_O,9,i,10,1.943975318,3.921003878,same
3_16_O,10,i,10,1.629755881,4.035269719,same
3_16_S,0,-VII,8,1.323245823,3.598910915,same
3_16_S,1,i,9,2.773006653,3.791801494,same
3_16_S,2,i,9,1.426069556,3.853393903,same
3_16_S,3,-VII,10,1.242978456,3.464563651,same
3_16_S,4,-VII,10,1.12451185,3.251413447,same
3_16_S,5,-VI,10,1.925227393,3.921003878,same
3_16_S,6,i,6,6.378791066,1.856493381,same
3_16_S,7,-VII,4,3.065381956,4.996656898,same
3_16_S,8,-VII,5,5.256718864,4.015727364,same
3_16_S,9,i,3,3.129134394,5.043742939,same
3_16_S,10,i,4,2.19677447,4.537331889,same
3_25_O,0,-VII,7,4.898445033,4.955840665,diff
3_25_O,1,-VII,6,1.899653956,3.951760318,diff
3_25_O,2,I,7,3.550210843,3.570540956,diff
3_25_O,3,I,6,0.3764736392,1.930264018,diff
3_25_O,4,-VII,8,2.962493516,4.687478304,diff
3_25_O,5,-VII,9,1.959273481,3.704753414,diff
3_25_O,6,I,6,0.1778990697,1.089490567,diff
3_25_O,7,I,10,1.604750777,4.019575133,diff
3_25_O,8,-III,10,6.090282488,3.063081776,diff
3_25_O,9,-VII,4,4.630619357,4.176333571,diff
3_25_O,10,I,4,2.277694311,4.11781601,diff
3_25_S,0,-VII,7,4.898445033,4.955840665,diff
3_25_S,1,-VII,6,1.899653956,3.951760318,diff
3_25_S,2,I,7,3.550210843,3.570540956,diff
3_25_S,3,I,6,0.3764736392,1.930264018,diff
3_25_S,4,-VII,8,2.962493516,4.687478304,diff
3_25_S,5,IV,9,1.987928603,3.704753414,diff
3_25_S,6,I,7,2.807836101,3.957421945,diff
3_25_S,7,I,7,1.74344432,4.285846102,diff
3_25_S,8,-III,8,6.489992396,4.040573767,diff
3_25_S,9,-VII,4,3.784334091,5.05598872,diff
3_25_S,10,I,5,1.368064471,3.574386189,diff
4_31_O,0,I,4,2.960359394,4.577004159,diff
4_31_O,1,vi,5,4.078090606,4.66876448,diff
4_31_O,2,ii,5,5.431792878,3.763483588,diff
4_31_O,3,-VII,3,4.836888644,4.79421052,diff
4_31_O,4,V,4,1.705028421,4.394560025,diff
4_31_O,5,I,5,2.635198165,4.782914937,diff
4_31_O,6,-VII,5,7.34114219,2.485680533,diff
4_31_O,7,I,3,2.950977038,4.797095822,diff
4_31_O,8,I,4,3.250998351,4.95626648,diff
4_31_O,9,I,5,2.611020542,4.786421378,diff
4_31_O,10,I,6,1.645447386,4.370179495,diff
4_31_S,0,I,4,2.960359394,4.577004159,diff
4_31_S,1,vi,5,4.078090606,4.66876448,diff
4_31_S,2,ii,5,5.431792878,3.763483588,diff
4_31_S,3,-VII,3,4.836888644,4.79421052,diff
4_31_S,4,V,4,1.705028421,4.394560025,diff
4_31_S,5,V,5,2.632351297,4.782914937,diff
4_31_S,6,-VII,5,5.513760699,3.433887756,diff
4_31_S,7,I,4,2.968177539,4.705895125,diff
4_31_S,8,I,5,1.722462728,4.37962809,diff
4_31_S,9,I,5,3.984414306,4.42463311,diff
4_31_S,10,I,5,1.988073349,4.738395637,diff
4_35_O,0,i,2,3.770113814,4.827122121,diff
4_35_O,1,iv,3,3.813668881,4.846779336,diff
4_35_O,2,V,4,4.755054113,4.554490918,diff
4_35_O,3,i,4,3.432483674,3.947102728,diff
4_35_O,4,vio,4,7.811515321,3.932505807,diff
4_35_O,5,iv,2,2.309803886,4.335385185,diff
4_35_O,6,V,2,5.373126112,4.165129289,diff
4_35_O,7,I,2,3.445830252,4.94092735,diff
4_35_O,8,i,3,5.721860896,5.049576881,diff
4_35_O,9,iv,3,4.720116756,4.682255939,diff
4_35_O,10,V,3,4.664778917,4.734942755,diff
4_35_S,0,i,2,3.770113814,4.827122121,diff
4_35_S,1,iv,3,3.813668881,4.846779336,diff
4_35_S,2,V,4,4.755054113,4.554490918,diff
4_35_S,3,i,4,3.432483674,3.947102728,diff
4_35_S,4,vio,4,7.811515321,3.932505807,diff
4_35_S,5,-VII,2,2.312795902,4.335385185,diff
4_35_S,6,V,2,5.098812863,4.495762225,diff
4_35_S,7,I,2,3.165606751,4.77198276,diff
4_35_S,8,i,3,5.81737594,5.025000503,diff
4_35_S,9,iv,3,4.720116756,4.682255939,diff
4_35_S,10,V,3,4.664778917,4.734942755,diff
4_49_O,0,I,5,0.3450668093,1.696978119,same
4_49_O,1,-VI,7,2.323673225,4.266611912,same
4_49_O,2,-VII,7,0.5020633522,2.354202863,same
4_49_O,3,I,5,0.3450668093,1.696978119,same
4_49_O,4,I,10,2.170319996,4.05954959,same
4_49_O,5,I,10,2.250737931,4.287486681,same
4_49_O,6,I,8,1.542819532,4.184440856,same
4_49_O,7,-VII,6,4.701295322,4.005031643,same
4_49_O,8,-VII,6,1.852367321,3.912732996,same
4_49_O,9,-VI,7,4.24507604,4.452533871,same
4_49_O,10,-VI,4,1.002637896,3.53879054,same
4_49_S,0,I,5,0.3450668093,1.696978119,same
4_49_S,1,-VI,7,2.323673225,4.266611912,same
4_49_S,2,-VII,7,0.5020633522,2.354202863,same
4_49_S,3,I,5,0.3450668093,1.696978119,same
4_49_S,4,I,10,2.170319996,4.05954959,same
4_49_S,5,-VI,10,2.255062292,4.287486681,same
4_49_S,6,I,5,5.292330311,3.923152447,same
4_49_S,7,-VII,4,4.810400995,4.897084731,same
4_49_S,8,-VII,3,5.092858995,3.458604879,same
4_49_S,9,-VI,3,4.472706127,5.115352172,same
4_49_S,10,-VI,4,1.941630698,4.576161896,same
4_105_O,0,ii,4,6.47245674,4.35457773,same
4_105_O,1,IV,3,5.606423895,5.000494654,same
4_105_O,2,I,2,3.663681747,5.169992723,same
4_105_O,3,-III,3,5.594318932,5.237810818,same
4_105_O,4,-VII,3,3.316915975,4.8014875,same
4_105_O,5,I,4,2.637227292,4.410251944,same
4_105_O,6,V,5,4.531529645,4.182134822,same
4_105_O,7,vi,4,5.259395091,4.823051238,same
4_105_O,8,IV,3,3.852737612,5.113352498,same
4_105_O,9,V,4,2.373966235,4.50728225,same
4_105_O,10,I,5,1.988804317,4.452797361,same
4_105_S,0,ii,4,6.47245674,4.35457773,same
4_105_S,1,IV,3,5.606423895,5.000494654,same
4_105_S,2,I,2,3.663681747,5.169992723,same
4_105_S,3,-III,3,5.594318932,5.237810818,same
4_105_S,4,-VII,3,3.316915975,4.8014875,same
4_105_S,5,-III,4,2.64908998,4.410251944,same
4_105_S,6,V,4,6.697683151,2.118671045,same
4_105_S,7,vi,3,6.170693034,4.849359136,same
4_105_S,8,IV,2,4.447764562,5.324186887,same
4_105_S,9,V,3,3.464881253,5.132897511,same
4_105_S,10,I,4,2.853453293,4.911854118,same
