response,QualtricsID,overall_pleasantness,trial_id,invalid_trial
R_5xIPzVntMqAeUQ9,Q145_1,-14.0,1_21_S,
R_5GePeLf7FEDRdre,Q145_1,40.0,1_21_S,
R_6lIRnXl5iQUgYpj,Q145_1,10.0,1_21_S,
R_3jpqjgXjaRUGHCx,Q145_1,-13.0,1_21_S,
R_5By4YMKhNg17YVn,Q145_1,-100.0,1_21_S,
R_5RjPUCAz9Tjz4Co,Q145_1,8.0,1_21_S,
R_1NERt9E2i9XZDVC,Q145_1,-25.0,1_21_S,
R_1rrqhIVOa2CidYB,Q145_1,32.0,1_21_S,
R_17sqFUGKskSfCfu,Q145_1,42.0,1_21_S,
R_1JOYHQs6EmxyUbv,Q145_1,94.0,1_21_S,
R_5COrRguDcQhsanw,Q145_1,75.0,1_21_S,
R_5nyjrWnBQAAly1P,Q145_1,-21.0,1_21_S,
R_3N2GrWz9K9xZojW,Q145_1,-9.0,1_21_S,
R_5dW9uuSSmK2iAff,Q145_1,22.0,1_21_S,
R_3uFR5h8zXLFLHLb,Q145_1,-50.0,1_21_S,
R_1cTk4JpFTveIkoz,Q145_1,66.0,1_21_S,
R_6UW0Lrs0Xg0m5PN,Q145_1,38.0,1_21_S,
R_3uGD1JnZB7R76et,Q145_1,45.0,1_21_S,
R_1lLczv84whbk80U,Q145_1,18.0,1_21_S,
R_1Id5qj62HUwiyBm,Q145_1,4.0,1_21_S,
R_1dsJS0UUWqDvId3,Q145_1,-12.0,1_21_S,
R_5hQ2E2VT84LrZSf,Q145_1,20.0,1_21_S,
R_3qoYnwai4eDTGkp,Q145_1,61.0,1_21_S,
R_5QFSUrEAbuWXQZ3,Q145_1,20.0,1_21_S,
R_342jRMCUa8BrKAF,Q145_1,73.0,1_21_S,
R_3EgstgVxibvqfeh,Q145_1,-6.0,1_21_S,
R_6gz8jeGkaIWjWUh,Q145_1,-34.0,1_21_S,
R_6efcBElj6FCvBmV,Q149_1,68.0,1_25_O,
R_75rcpr2IJ8FQlt7,Q149_1,-10.0,1_25_O,
R_6ONTIhMg73HcsJO,Q149_1,71.0,1_25_O,
R_7PLFHJcP1sCHknL,Q149_1,-37.0,1_25_O,
R_5QgKsFptfykYF2a,Q149_1,54.0,1_25_O,
R_3rBtmvEFGlA2euY,Q149_1,16.0,1_25_O,
R_7YYzxAhoTh0JzDz,Q149_1,32.0,1_25_O,
R_5el6gvrcCYCt9gm,Q149_1,17.0,1_25_O,
R_1cS00YwPv0qYkwf,Q149_1,6.0,1_25_O,
R_5BQMO4HCVitDKDr,Q149_1,33.0,1_25_O,
R_7D5CyBlRpKaBWlr,Q149_1,49.0,1_25_O,
R_3FSbLaIbYu79r78,Q149_1,0.0,1_25_O,
R_3TiyiRowq9eTX8J,Q149_1,1.0,1_25_O,
R_5e50bw1UZocht0y,Q149_1,41.0,1_25_O,
R_3G3Y6hfZSzdgBIk,Q149_1,-99.0,1_25_O,
R_5HSUjAwXWAqyfxD,Q149_1,-100.0,1_25_O,
R_53uQeWN39gLkXLP,Q149_1,42.0,1_25_O,
R_3mqn53rHOjfcngB,Q149_1,-40.0,1_25_O,
R_1FQflkMldupaWLW,Q149_1,-36.0,1_25_O,
R_6ZNxkJ8czyVt7E1,Q149_1,9.0,1_25_O,
R_322x31PwAj0M5GN,Q149_1,20.0,1_25_O,
R_7wp3WmD3UFSKp9M,Q149_1,-19.0,1_25_O,
R_62Rs0EUUEsYnwXI,Q149_1,13.0,1_25_O,
R_1TxCWzBLCRYWFYl,Q149_1,-46.0,1_25_O,
R_7CeVJiseeSsgCh6,Q149_1,6.0,1_25_O,
R_7TuVgZfkHx9dFMD,Q149_1,-6.0,1_25_O,
R_3np9puN9JlT7IH3,Q149_1,-23.0,1_25_O,
R_3GO2G8l7RjVyHoR,Q149_1,-37.0,1_25_O,
R_3nj2UiAJ34Y31tv,Q149_1,-41.0,1_25_O,
R_71gVwQQYAqAD4GH,Q149_1,-7.0,1_25_O,
R_1cnhbMhuECa9fX5,Q149_1,3.0,1_25_O,
R_7Lu4QIq3X8HK6A4,Q149_1,39.0,1_25_O,
R_7UgTFkj1C6rNo5k,Q149_1,6.0,1_25_O,
R_7qW0qJgzLWxGmIp,Q149_1,6.0,1_25_O,
R_54vZUwQFpC5yYnU,Q149_1,-15.0,1_25_O,
R_5sShiW4FtJ2iJft,Q149_1,-6.0,1_25_O,
R_5SB0CzqiyIP9IKk,Q149_1,31.0,1_25_O,
R_6pU0piaLpro8dYR,Q149_1,13.0,1_25_O,
R_11hm6t4X5BgCJer,Q149_1,-27.0,1_25_O,
R_1466hO0Z03hgUhq,Q149_1,78.0,1_25_O,
R_3SlsEB84RFtsYaB,Q149_1,-16.0,1_25_O,
R_7TYziOVIPnw7Tt7,Q149_1,48.0,1_25_O,
R_3QgBlGFmAXQOOYo,Q149_1,30.0,1_25_O,
R_5exvTvnYGQxYHmk,Q149_1,0.0,1_25_O,
R_6qiVb9WslcV95D3,Q149_1,-27.0,1_25_O,
R_3CkdS2pAdeypu10,Q149_1,65.0,1_25_O,
R_7rHfkVNs7QHbLag,Q149_1,49.0,1_25_O,
R_1CCTScrn2uMkLvQ,Q149_1,-51.0,1_25_O,
R_3lzeKfKWfV13bsI,Q149_1,50.0,1_25_O,
R_7q3oA2eiv1mVVXV,Q149_1,21.0,1_25_O,
R_3VvBfjYi2GDlIIN,Q149_1,97.0,1_25_O,
R_6QopCGKzit4HLkS,Q149_1,0.0,1_25_O,
R_3ZUuSnuIJLb5zgZ,Q149_1,0.0,1_25_O,
R_72zc1kJ2g5kjTOH,Q149_1,-14.0,1_25_O,
R_73llbEZEiEOM6dM,Q149_1,-7.0,1_25_O,
R_5xIPzVntMqAeUQ9,Q149_1,18.0,1_25_O,
R_5GePeLf7FEDRdre,Q149_1,40.0,1_25_O,
R_6lIRnXl5iQUgYpj,Q149_1,21.0,1_25_O,
R_3jpqjgXjaRUGHCx,Q149_1,-27.0,1_25_O,
R_5By4YMKhNg17YVn,Q149_1,0.0,1_25_O,
R_1NERt9E2i9XZDVC,Q149_1,72.0,1_25_O,
R_1rrqhIVOa2CidYB,Q149_1,18.0,1_25_O,
R_17sqFUGKskSfCfu,Q149_1,-14.0,1_25_O,
R_1JOYHQs6EmxyUbv,Q149_1,99.0,1_25_O,
R_5COrRguDcQhsanw,Q149_1,79.0,1_25_O,
R_5nyjrWnBQAAly1P,Q149_1,-13.0,1_25_O,
R_6H1wqxb4tc7A3mm,Q149_1,55.0,1_25_O,
R_3N2GrWz9K9xZojW,Q149_1,-30.0,1_25_O,
R_5dW9uuSSmK2iAff,Q149_1,53.0,1_25_O,
R_1cTk4JpFTveIkoz,Q149_1,18.0,1_25_O,
R_6UW0Lrs0Xg0m5PN,Q149_1,21.0,1_25_O,
R_3tFLQZzQgMqNqW5,Q149_1,12.0,1_25_O,
R_3uGD1JnZB7R76et,Q149_1,22.0,1_25_O,
R_5EuWWZqyvedjNXe,Q149_1,46.0,1_25_O,
R_7reWf8VM9JvZi6J,Q149_1,30.0,1_25_O,
R_1lLczv84whbk80U,Q149_1,83.0,1_25_O,
R_1Id5qj62HUwiyBm,Q149_1,29.0,1_25_O,
R_1zfiymtsGq0Wgsp,Q149_1,68.0,1_25_O,
R_1dsJS0UUWqDvId3,Q149_1,-10.0,1_25_O,
R_5hQ2E2VT84LrZSf,Q149_1,-45.0,1_25_O,
R_5QFSUrEAbuWXQZ3,Q149_1,3.0,1_25_O,
R_342jRMCUa8BrKAF,Q149_1,35.0,1_25_O,
R_3EgstgVxibvqfeh,Q149_1,24.0,1_25_O,
R_7Fg1XuwBBdNO5lH,Q161_1,-12.0,1_18_O,
R_6efcBElj6FCvBmV,Q161_1,16.0,1_18_O,
R_75rcpr2IJ8FQlt7,Q161_1,20.0,1_18_O,
R_6ONTIhMg73HcsJO,Q161_1,-25.0,1_18_O,
R_5QgKsFptfykYF2a,Q161_1,28.0,1_18_O,
R_3rBtmvEFGlA2euY,Q161_1,2.0,1_18_O,
R_5el6gvrcCYCt9gm,Q161_1,43.0,1_18_O,
R_1cS00YwPv0qYkwf,Q161_1,-4.0,1_18_O,
R_6CPHrtuj7SP8UUC,Q161_1,29.0,1_18_O,
R_5BQMO4HCVitDKDr,Q161_1,21.0,1_18_O,
R_7D5CyBlRpKaBWlr,Q161_1,-42.0,1_18_O,
R_3FSbLaIbYu79r78,Q161_1,-9.0,1_18_O,
R_3TiyiRowq9eTX8J,Q161_1,7.0,1_18_O,
R_5e50bw1UZocht0y,Q161_1,-65.0,1_18_O,
R_3G3Y6hfZSzdgBIk,Q161_1,-83.0,1_18_O,
R_53uQeWN39gLkXLP,Q161_1,-83.0,1_18_O,
R_3mqn53rHOjfcngB,Q161_1,-60.0,1_18_O,
R_1FQflkMldupaWLW,Q161_1,26.0,1_18_O,
R_6ZNxkJ8czyVt7E1,Q161_1,43.0,1_18_O,
R_322x31PwAj0M5GN,Q161_1,68.0,1_18_O,
R_7wp3WmD3UFSKp9M,Q161_1,-40.0,1_18_O,
R_1TxCWzBLCRYWFYl,Q161_1,-64.0,1_18_O,
R_7rwXPXtG1YFPvVJ,Q161_1,48.0,1_18_O,
R_7TuVgZfkHx9dFMD,Q161_1,65.0,1_18_O,
R_3np9puN9JlT7IH3,Q161_1,9.0,1_18_O,
R_36lHnpb15HnFYdh,Q161_1,34.0,1_18_O,
R_3nj2UiAJ34Y31tv,Q161_1,21.0,1_18_O,
R_7ajSdUpZgksrXjz,Q161_1,37.0,1_18_O,
R_1cnhbMhuECa9fX5,Q161_1,50.0,1_18_O,
R_7Lu4QIq3X8HK6A4,Q161_1,40.0,1_18_O,
R_7UgTFkj1C6rNo5k,Q161_1,-17.0,1_18_O,
R_7qW0qJgzLWxGmIp,Q161_1,34.0,1_18_O,
R_54vZUwQFpC5yYnU,Q161_1,-12.0,1_18_O,
R_5SB0CzqiyIP9IKk,Q161_1,13.0,1_18_O,
R_6pU0piaLpro8dYR,Q161_1,-24.0,1_18_O,
R_3dcu8kRTkXoyoip,Q161_1,1.0,1_18_O,
R_11hm6t4X5BgCJer,Q161_1,53.0,1_18_O,
R_1466hO0Z03hgUhq,Q161_1,100.0,1_18_O,
R_3SlsEB84RFtsYaB,Q161_1,25.0,1_18_O,
R_7TYziOVIPnw7Tt7,Q161_1,82.0,1_18_O,
R_6iWFCZUKCEOuDpj,Q161_1,72.0,1_18_O,
R_3QgBlGFmAXQOOYo,Q161_1,79.0,1_18_O,
R_5exvTvnYGQxYHmk,Q161_1,-3.0,1_18_O,
R_6qiVb9WslcV95D3,Q161_1,71.0,1_18_O,
R_3CkdS2pAdeypu10,Q161_1,-19.0,1_18_O,
R_7rHfkVNs7QHbLag,Q161_1,50.0,1_18_O,
R_1CCTScrn2uMkLvQ,Q161_1,-15.0,1_18_O,
R_3lzeKfKWfV13bsI,Q161_1,5.0,1_18_O,
R_7q3oA2eiv1mVVXV,Q161_1,-61.0,1_18_O,
R_3VvBfjYi2GDlIIN,Q161_1,-34.0,1_18_O,
R_6QopCGKzit4HLkS,Q161_1,0.0,1_18_O,
R_3ZUuSnuIJLb5zgZ,Q161_1,4.0,1_18_O,
R_72zc1kJ2g5kjTOH,Q161_1,-18.0,1_18_O,
R_73llbEZEiEOM6dM,Q161_1,-2.0,1_18_O,
R_5xIPzVntMqAeUQ9,Q161_1,-8.0,1_18_O,
R_5GePeLf7FEDRdre,Q161_1,63.0,1_18_O,
R_6lIRnXl5iQUgYpj,Q161_1,6.0,1_18_O,
R_3jpqjgXjaRUGHCx,Q161_1,-51.0,1_18_O,
R_5By4YMKhNg17YVn,Q161_1,37.0,1_18_O,
R_5ib6q2Swb0efZFF,Q161_1,25.0,1_18_O,
R_5RjPUCAz9Tjz4Co,Q161_1,81.0,1_18_O,
R_1NERt9E2i9XZDVC,Q161_1,-18.0,1_18_O,
R_1rrqhIVOa2CidYB,Q161_1,-6.0,1_18_O,
R_17sqFUGKskSfCfu,Q161_1,11.0,1_18_O,
R_1JOYHQs6EmxyUbv,Q161_1,52.0,1_18_O,
R_5COrRguDcQhsanw,Q161_1,39.0,1_18_O,
R_5nyjrWnBQAAly1P,Q161_1,-15.0,1_18_O,
R_3N2GrWz9K9xZojW,Q161_1,-24.0,1_18_O,
R_5dW9uuSSmK2iAff,Q161_1,-47.0,1_18_O,
R_1cTk4JpFTveIkoz,Q161_1,23.0,1_18_O,
R_6UW0Lrs0Xg0m5PN,Q161_1,64.0,1_18_O,
R_3tFLQZzQgMqNqW5,Q161_1,20.0,1_18_O,
R_3uGD1JnZB7R76et,Q161_1,-36.0,1_18_O,
R_7reWf8VM9JvZi6J,Q161_1,34.0,1_18_O,
R_1lLczv84whbk80U,Q161_1,80.0,1_18_O,
R_7GVaCAP5l7A7DJD,Q161_1,8.0,1_18_O,
R_1Id5qj62HUwiyBm,Q161_1,11.0,1_18_O,
R_1zfiymtsGq0Wgsp,Q161_1,66.0,1_18_O,
R_1dsJS0UUWqDvId3,Q161_1,23.0,1_18_O,
R_5hQ2E2VT84LrZSf,Q161_1,28.0,1_18_O,
R_39bn3d5gFOxzYMr,Q161_1,95.0,1_18_O,
R_3qoYnwai4eDTGkp,Q161_1,46.0,1_18_O,
R_5QFSUrEAbuWXQZ3,Q161_1,-10.0,1_18_O,
R_342jRMCUa8BrKAF,Q161_1,64.0,1_18_O,
R_3EgstgVxibvqfeh,Q161_1,-13.0,1_18_O,
R_6gz8jeGkaIWjWUh,Q161_1,-35.0,1_18_O,
R_7Fg1XuwBBdNO5lH,Q173_1,-65.0,1_29_S,
R_6efcBElj6FCvBmV,Q173_1,-53.0,1_29_S,
R_75rcpr2IJ8FQlt7,Q173_1,-42.0,1_29_S,
R_6ONTIhMg73HcsJO,Q173_1,-27.0,1_29_S,
R_7PLFHJcP1sCHknL,Q173_1,-16.0,1_29_S,
R_5QgKsFptfykYF2a,Q173_1,25.0,1_29_S,
R_3rBtmvEFGlA2euY,Q173_1,-30.0,1_29_S,
R_7YYzxAhoTh0JzDz,Q173_1,-29.0,1_29_S,
R_5el6gvrcCYCt9gm,Q173_1,-16.0,1_29_S,
R_1cS00YwPv0qYkwf,Q173_1,0.0,1_29_S,
R_6CPHrtuj7SP8UUC,Q173_1,49.0,1_29_S,
R_5BQMO4HCVitDKDr,Q173_1,0.0,1_29_S,
R_7D5CyBlRpKaBWlr,Q173_1,-80.0,1_29_S,
R_3FSbLaIbYu79r78,Q173_1,0.0,1_29_S,
R_3TiyiRowq9eTX8J,Q173_1,-25.0,1_29_S,
R_6anxUAYCOl9WRmc,Q173_1,-71.0,1_29_S,
R_5e50bw1UZocht0y,Q173_1,-72.0,1_29_S,
R_3G3Y6hfZSzdgBIk,Q173_1,-96.0,1_29_S,
R_5HSUjAwXWAqyfxD,Q173_1,-86.0,1_29_S,
R_3mqn53rHOjfcngB,Q173_1,-96.0,1_29_S,
R_1FQflkMldupaWLW,Q173_1,-72.0,1_29_S,
R_6ZNxkJ8czyVt7E1,Q173_1,-57.0,1_29_S,
R_322x31PwAj0M5GN,Q173_1,-42.0,1_29_S,
R_7wp3WmD3UFSKp9M,Q173_1,-75.0,1_29_S,
R_62Rs0EUUEsYnwXI,Q173_1,-25.0,1_29_S,
R_1TxCWzBLCRYWFYl,Q173_1,16.0,1_29_S,
R_7rwXPXtG1YFPvVJ,Q173_1,-28.0,1_29_S,
R_7TuVgZfkHx9dFMD,Q173_1,9.0,1_29_S,
R_3np9puN9JlT7IH3,Q173_1,31.0,1_29_S,
R_36lHnpb15HnFYdh,Q173_1,-11.0,1_29_S,
R_3nj2UiAJ34Y31tv,Q173_1,16.0,1_29_S,
R_7ajSdUpZgksrXjz,Q173_1,-17.0,1_29_S,
R_1cnhbMhuECa9fX5,Q173_1,0.0,1_29_S,
R_57mv6qMHJatnktk,Q173_1,-22.0,1_29_S,
R_7UgTFkj1C6rNo5k,Q173_1,-3.0,1_29_S,
R_1urpkmCQGSL8bZA,Q173_1,70.0,1_29_S,
R_54vZUwQFpC5yYnU,Q173_1,19.0,1_29_S,
R_6pU0piaLpro8dYR,Q173_1,-22.0,1_29_S,
R_3dcu8kRTkXoyoip,Q173_1,13.0,1_29_S,
R_11hm6t4X5BgCJer,Q173_1,-5.0,1_29_S,
R_1466hO0Z03hgUhq,Q173_1,47.0,1_29_S,
R_3SlsEB84RFtsYaB,Q173_1,-35.0,1_29_S,
R_7TYziOVIPnw7Tt7,Q173_1,-9.0,1_29_S,
R_6iWFCZUKCEOuDpj,Q173_1,75.0,1_29_S,
R_3QgBlGFmAXQOOYo,Q173_1,5.0,1_29_S,
R_5exvTvnYGQxYHmk,Q173_1,43.0,1_29_S,
R_6qiVb9WslcV95D3,Q173_1,73.0,1_29_S,
R_3CkdS2pAdeypu10,Q173_1,-51.0,1_29_S,
R_7rHfkVNs7QHbLag,Q173_1,42.0,1_29_S,
R_1CCTScrn2uMkLvQ,Q173_1,39.0,1_29_S,
R_3lzeKfKWfV13bsI,Q173_1,-44.0,1_29_S,
R_7q3oA2eiv1mVVXV,Q173_1,-73.0,1_29_S,
R_3VvBfjYi2GDlIIN,Q173_1,0.0,1_29_S,
R_6QopCGKzit4HLkS,Q173_1,0.0,1_29_S,
R_3ZUuSnuIJLb5zgZ,Q173_1,-35.0,1_29_S,
R_72zc1kJ2g5kjTOH,Q173_1,-15.0,1_29_S,
R_73llbEZEiEOM6dM,Q173_1,-9.0,1_29_S,
R_5xIPzVntMqAeUQ9,Q173_1,-44.0,1_29_S,
R_5GePeLf7FEDRdre,Q173_1,5.0,1_29_S,
R_6lIRnXl5iQUgYpj,Q173_1,26.0,1_29_S,
R_3jpqjgXjaRUGHCx,Q173_1,-25.0,1_29_S,
R_5By4YMKhNg17YVn,Q173_1,6.0,1_29_S,
R_1NERt9E2i9XZDVC,Q173_1,75.0,1_29_S,
R_1rrqhIVOa2CidYB,Q173_1,6.0,1_29_S,
R_17sqFUGKskSfCfu,Q173_1,33.0,1_29_S,
R_1JOYHQs6EmxyUbv,Q173_1,-51.0,1_29_S,
R_5COrRguDcQhsanw,Q173_1,53.0,1_29_S,
R_5nyjrWnBQAAly1P,Q173_1,-18.0,1_29_S,
R_5dW9uuSSmK2iAff,Q173_1,-99.0,1_29_S,
R_1cTk4JpFTveIkoz,Q173_1,-43.0,1_29_S,
R_6UW0Lrs0Xg0m5PN,Q173_1,10.0,1_29_S,
R_1DP2enDFn5QykNB,Q173_1,8.0,1_29_S,
R_3tFLQZzQgMqNqW5,Q173_1,13.0,1_29_S,
R_3uGD1JnZB7R76et,Q173_1,-11.0,1_29_S,
R_5EuWWZqyvedjNXe,Q173_1,41.0,1_29_S,
R_7reWf8VM9JvZi6J,Q173_1,-12.0,1_29_S,
R_1lLczv84whbk80U,Q173_1,-48.0,1_29_S,
R_7GVaCAP5l7A7DJD,Q173_1,-16.0,1_29_S,
R_1Id5qj62HUwiyBm,Q173_1,27.0,1_29_S,
R_1zfiymtsGq0Wgsp,Q173_1,42.0,1_29_S,
R_1dsJS0UUWqDvId3,Q173_1,-11.0,1_29_S,
R_5hQ2E2VT84LrZSf,Q173_1,-26.0,1_29_S,
R_39bn3d5gFOxzYMr,Q173_1,40.0,1_29_S,
R_3qoYnwai4eDTGkp,Q173_1,3.0,1_29_S,
R_5QFSUrEAbuWXQZ3,Q173_1,-6.0,1_29_S,
R_342jRMCUa8BrKAF,Q173_1,56.0,1_29_S,
R_3EgstgVxibvqfeh,Q173_1,7.0,1_29_S,
R_6gz8jeGkaIWjWUh,Q173_1,8.0,1_29_S,
R_6efcBElj6FCvBmV,Q177_1,-5.0,2_14_O,
R_6ONTIhMg73HcsJO,Q177_1,31.0,2_14_O,
R_7PLFHJcP1sCHknL,Q177_1,28.0,2_14_O,
R_5QgKsFptfykYF2a,Q177_1,18.0,2_14_O,
R_3rBtmvEFGlA2euY,Q177_1,-8.0,2_14_O,
R_7YYzxAhoTh0JzDz,Q177_1,39.0,2_14_O,
R_5el6gvrcCYCt9gm,Q177_1,18.0,2_14_O,
R_1cS00YwPv0qYkwf,Q177_1,30.0,2_14_O,
R_6CPHrtuj7SP8UUC,Q177_1,-61.0,2_14_O,
R_5BQMO4HCVitDKDr,Q177_1,69.0,2_14_O,
R_7D5CyBlRpKaBWlr,Q177_1,14.0,2_14_O,
R_3FSbLaIbYu79r78,Q177_1,8.0,2_14_O,
R_3TiyiRowq9eTX8J,Q177_1,-8.0,2_14_O,
R_6anxUAYCOl9WRmc,Q177_1,71.0,2_14_O,
R_5e50bw1UZocht0y,Q177_1,-79.0,2_14_O,
R_3G3Y6hfZSzdgBIk,Q177_1,-83.0,2_14_O,
R_5HSUjAwXWAqyfxD,Q177_1,56.0,2_14_O,
R_53uQeWN39gLkXLP,Q177_1,19.0,2_14_O,
R_3mqn53rHOjfcngB,Q177_1,-13.0,2_14_O,
R_1FQflkMldupaWLW,Q177_1,35.0,2_14_O,
R_6ZNxkJ8czyVt7E1,Q177_1,28.0,2_14_O,
R_322x31PwAj0M5GN,Q177_1,-40.0,2_14_O,
R_7wp3WmD3UFSKp9M,Q177_1,-71.0,2_14_O,
R_62Rs0EUUEsYnwXI,Q177_1,-24.0,2_14_O,
R_1TxCWzBLCRYWFYl,Q177_1,-25.0,2_14_O,
R_7TuVgZfkHx9dFMD,Q177_1,30.0,2_14_O,
R_3np9puN9JlT7IH3,Q177_1,25.0,2_14_O,
R_36lHnpb15HnFYdh,Q177_1,16.0,2_14_O,
R_3GO2G8l7RjVyHoR,Q177_1,-27.0,2_14_O,
R_3nj2UiAJ34Y31tv,Q177_1,27.0,2_14_O,
R_7ajSdUpZgksrXjz,Q177_1,33.0,2_14_O,
R_1cnhbMhuECa9fX5,Q177_1,64.0,2_14_O,
R_7Lu4QIq3X8HK6A4,Q177_1,30.0,2_14_O,
R_7UgTFkj1C6rNo5k,Q177_1,18.0,2_14_O,
R_54vZUwQFpC5yYnU,Q177_1,41.0,2_14_O,
R_5sShiW4FtJ2iJft,Q177_1,66.0,2_14_O,
R_11hm6t4X5BgCJer,Q177_1,26.0,2_14_O,
R_1466hO0Z03hgUhq,Q177_1,39.0,2_14_O,
R_3SlsEB84RFtsYaB,Q177_1,-19.0,2_14_O,
R_7TYziOVIPnw7Tt7,Q177_1,0.0,2_14_O,
R_3QgBlGFmAXQOOYo,Q177_1,35.0,2_14_O,
R_5exvTvnYGQxYHmk,Q177_1,40.0,2_14_O,
R_3CkdS2pAdeypu10,Q177_1,-27.0,2_14_O,
R_7rHfkVNs7QHbLag,Q177_1,50.0,2_14_O,
R_1CCTScrn2uMkLvQ,Q177_1,43.0,2_14_O,
R_3lzeKfKWfV13bsI,Q177_1,6.0,2_14_O,
R_7q3oA2eiv1mVVXV,Q177_1,-12.0,2_14_O,
R_3VvBfjYi2GDlIIN,Q177_1,74.0,2_14_O,
R_6QopCGKzit4HLkS,Q177_1,0.0,2_14_O,
R_3ZUuSnuIJLb5zgZ,Q177_1,-1.0,2_14_O,
R_72zc1kJ2g5kjTOH,Q177_1,-30.0,2_14_O,
R_73llbEZEiEOM6dM,Q177_1,15.0,2_14_O,
R_5xIPzVntMqAeUQ9,Q177_1,-1.0,2_14_O,
R_5GePeLf7FEDRdre,Q177_1,-33.0,2_14_O,
R_6lIRnXl5iQUgYpj,Q177_1,7.0,2_14_O,
R_3jpqjgXjaRUGHCx,Q177_1,25.0,2_14_O,
R_5By4YMKhNg17YVn,Q177_1,0.0,2_14_O,
R_1NERt9E2i9XZDVC,Q177_1,29.0,2_14_O,
R_1rrqhIVOa2CidYB,Q177_1,-11.0,2_14_O,
R_17sqFUGKskSfCfu,Q177_1,38.0,2_14_O,
R_1JOYHQs6EmxyUbv,Q177_1,9.0,2_14_O,
R_5COrRguDcQhsanw,Q177_1,28.0,2_14_O,
R_5nyjrWnBQAAly1P,Q177_1,-9.0,2_14_O,
R_5dW9uuSSmK2iAff,Q177_1,-92.0,2_14_O,
R_3uFR5h8zXLFLHLb,Q177_1,11.0,2_14_O,
R_1cTk4JpFTveIkoz,Q177_1,32.0,2_14_O,
