,response,trial_id,chord_index,chord_pleasantness,Symbol,Order,IC,Entropy,HarmonicFunction,SensoryDissonance,SpectralComplexity,SpectralCentroid
28,R_11hm6t4X5BgCJer,1_21_O,0,0.0,ii,0.0,5.751996329,5.09971751,same,0.3954825839400291,1.54,1997.942130126953
29,R_11hm6t4X5BgCJer,1_21_O,1,32.0,ii,1.0,4.36312273,5.120787058,same,0.394006854891777,1.55,2004.723145751953
30,R_11hm6t4X5BgCJer,1_21_O,2,43.0,II,2.0,5.112650451,4.976862111,same,0.3802014970779419,1.35,1966.9897534179688
31,R_11hm6t4X5BgCJer,1_21_O,3,49.0,II,3.0,3.157679941,4.396789319,same,0.3767733210325241,1.42,1959.8766650390623
32,R_11hm6t4X5BgCJer,1_21_O,4,49.0,-VI,4.0,6.800025179,4.225617168,same,0.3812309744954109,1.27,1940.5477282714844
33,R_11hm6t4X5BgCJer,1_21_O,5,49.0,V+,2.0,7.334320503,4.718569944,same,0.3807154394686222,1.11,1993.2025244140625
34,R_11hm6t4X5BgCJer,1_21_O,6,26.0,I,1.0,3.413176446,4.732960528,same,0.3741553860902786,1.71,1837.712507324219
35,R_11hm6t4X5BgCJer,1_21_O,7,57.0,I,2.0,3.264204227,4.951074734,same,0.3858453470468521,1.67,1852.9068090820313
36,R_11hm6t4X5BgCJer,1_21_O,8,55.0,IV,3.0,4.863803269,4.902115724,same,0.3817663122713566,1.65,1900.607613525391
37,R_11hm6t4X5BgCJer,1_21_O,9,62.0,IV,3.0,3.84158003,4.993717803,same,0.3790632657706737,1.69,1895.800061035156
38,R_11hm6t4X5BgCJer,1_21_O,10,66.0,#ivo,4.0,5.841967534,4.852737664,same,0.3841238451004028,1.49,1906.650662841797
39,R_11hm6t4X5BgCJer,1_21_S,-2,,,,,,,,,
40,R_11hm6t4X5BgCJer,1_21_S,-1,,,,,,,,,
41,R_11hm6t4X5BgCJer,1_21_S,0,-1.0,ii,0.0,5.751996329,5.09971751,same,0.3954825839400291,1.54,1997.942130126953
42,R_11hm6t4X5BgCJer,1_21_S,1,-9.0,ii,1.0,4.36312273,5.120787058,same,0.394006854891777,1.55,2004.723145751953
43,R_11hm6t4X5BgCJer,1_21_S,2,6.0,II,2.0,5.112650451,4.976862111,same,0.3802014970779419,1.35,1966.9897534179688
44,R_11hm6t4X5BgCJer,1_21_S,3,51.0,II,3.0,3.157679941,4.396789319,same,0.3767733210325241,1.42,1959.8766650390623
45,R_11hm6t4X5BgCJer,1_21_S,4,-26.0,-VI,4.0,6.800025179,4.225617168,same,0.3812309744954109,1.27,1940.5477368164063
46,R_11hm6t4X5BgCJer,1_21_S,5,-21.0,-V,2.0,7.334320503,4.718569944,same,0.3584277203679085,1.23,1867.6666162109375
47,R_11hm6t4X5BgCJer,1_21_S,6,-15.0,I,1.0,4.782639705,5.018487236,same,0.3767716966569424,1.7,1837.498505859375
48,R_11hm6t4X5BgCJer,1_21_S,7,50.0,I,2.0,2.212269219,4.787172048,same,0.3858437292277813,1.67,1852.906696777344
49,R_11hm6t4X5BgCJer,1_21_S,8,53.0,IV,3.0,4.830035577,4.800265143,same,0.3817646718025207,1.65,1900.6078649902345
50,R_11hm6t4X5BgCJer,1_21_S,9,58.0,IV,3.0,3.84158003,4.993717803,same,0.3789466698467731,1.69,1895.8005236816407
51,R_11hm6t4X5BgCJer,1_21_S,10,61.0,#ivo,4.0,5.841967534,4.852737664,same,0.3841238883137703,1.49,1906.6504223632812
52,R_11hm6t4X5BgCJer,1_25_O,-2,-1.0,,,,,,,,
53,R_11hm6t4X5BgCJer,1_25_O,-1,3.0,,,,,,,,
54,R_11hm6t4X5BgCJer,1_25_O,0,5.0,-VI,4.0,3.397104365,4.545372176,same,0.369493350982666,1.05,1942.7115258789063
55,R_11hm6t4X5BgCJer,1_25_O,1,-36.0,v,4.0,4.510715135,3.905697203,same,0.3855727231502533,1.52,1962.8475549316408
56,R_11hm6t4X5BgCJer,1_25_O,2,-39.0,iv,4.0,2.417155453,4.467324708,same,0.3868364508450031,1.4,1917.956533203125
57,R_11hm6t4X5BgCJer,1_25_O,3,-28.0,v,4.0,4.641248391,4.664478745,same,0.3896006855368614,1.48,1970.2551623535155
58,R_11hm6t4X5BgCJer,1_25_O,4,-40.0,-II,4.0,7.467843116,4.616271573,same,0.3792650263011455,1.76,1844.368850097656
59,R_11hm6t4X5BgCJer,1_25_O,5,-52.0,-vii,1.0,6.373999924,5.440453897,same,0.3837909735739231,1.87,1869.1290356445313
60,R_11hm6t4X5BgCJer,1_25_O,6,-48.0,-vii,1.0,5.215315199,5.390820206,same,0.3755012708902359,1.73,1861.1443017578124
61,R_11hm6t4X5BgCJer,1_25_O,7,-57.0,i,2.0,5.305046918,5.174407821,same,0.3777390196919441,1.17,1939.208707275391
62,R_11hm6t4X5BgCJer,1_25_O,8,-49.0,v,2.0,5.53852457,4.84575946,same,0.3902300867438316,1.41,1963.700322265625
63,R_11hm6t4X5BgCJer,1_25_O,9,-59.0,-VI,2.0,4.071237224,5.182615743,same,0.3682433412969112,1.07,1942.2794604492187
64,R_11hm6t4X5BgCJer,1_25_O,10,-43.0,v,3.0,4.00562857,5.0017997,same,0.3835044601559639,1.52,1963.8639099121096
65,R_11hm6t4X5BgCJer,1_25_S,-2,,,,,,,,,
66,R_11hm6t4X5BgCJer,1_25_S,-1,,,,,,,,,
67,R_11hm6t4X5BgCJer,1_25_S,0,-1.0,-VI,4.0,3.397104365,4.545372176,same,0.369493350982666,1.05,1942.7115258789063
68,R_11hm6t4X5BgCJer,1_25_S,1,-1.0,v,4.0,4.510715135,3.905697203,same,0.3855727231502533,1.52,1962.8475549316408
69,R_11hm6t4X5BgCJer,1_25_S,2,-1.0,iv,4.0,2.417155453,4.467324708,same,0.3868364508450031,1.4,1917.956533203125
70,R_11hm6t4X5BgCJer,1_25_S,3,27.0,v,4.0,4.641248391,4.664478745,same,0.3896006855368614,1.48,1970.2551623535155
71,R_11hm6t4X5BgCJer,1_25_S,4,1.0,-II,4.0,7.467843116,4.616271573,same,0.3792650263011455,1.76,1844.3688549804688
72,R_11hm6t4X5BgCJer,1_25_S,5,-29.0,vii,1.0,6.373999924,5.440453897,same,0.3720279584825039,1.48,1906.1285607910156
73,R_11hm6t4X5BgCJer,1_25_S,6,-37.0,-vii,1.0,6.588703774,5.39550483,same,0.3749929031729698,1.73,1861.0926354980468
74,R_11hm6t4X5BgCJer,1_25_S,7,-38.0,i,1.0,5.06608919,5.390820206,same,0.3777394992113113,1.17,1939.20849609375
75,R_11hm6t4X5BgCJer,1_25_S,8,-3.0,v,2.0,5.53852457,4.84575946,same,0.3902300149202347,1.41,1963.7002734375
76,R_11hm6t4X5BgCJer,1_25_S,9,44.0,-VI,2.0,4.071237224,5.182615743,same,0.3682436476647854,1.07,1942.279295654297
77,R_11hm6t4X5BgCJer,1_25_S,10,53.0,v,3.0,4.00562857,5.0017997,same,0.3835045233368873,1.52,1963.8639453125
78,R_11hm6t4X5BgCJer,1_29_O,-2,,,,,,,,,
79,R_11hm6t4X5BgCJer,1_29_O,-1,,,,,,,,,
80,R_11hm6t4X5BgCJer,1_29_O,0,-1.0,iv,2.0,3.432598208,4.623874122,diff,0.3957472711801529,1.4,1895.9316064453128
81,R_11hm6t4X5BgCJer,1_29_O,1,23.0,-III,3.0,4.953294563,4.515126098,diff,0.38636608466506,1.29,1934.267550048828
82,R_11hm6t4X5BgCJer,1_29_O,2,23.0,-vii,3.0,6.614425345,4.908530818,diff,0.389373485147953,1.69,1902.256767578125
83,R_11hm6t4X5BgCJer,1_29_O,3,36.0,I,2.0,5.711208121,3.387914115,diff,0.3690587742626667,1.08,1936.807834472656
84,R_11hm6t4X5BgCJer,1_29_O,4,36.0,I,2.0,4.943615725,4.959501598,diff,0.3722437232732772,1.12,1954.6577026367188
85,R_11hm6t4X5BgCJer,1_29_O,5,36.0,#I,2.0,6.849432623,5.154036744,diff,0.3864131146669388,1.23,1944.1152075195312
86,R_11hm6t4X5BgCJer,1_29_O,6,57.0,#I,2.0,1.222838547,3.676792711,diff,0.3808078619837761,1.14,1953.1410974121093
87,R_11hm6t4X5BgCJer,1_29_O,7,47.0,II,3.0,1.008227553,3.130202718,diff,0.3939510124921799,1.84,1934.514197998047
88,R_11hm6t4X5BgCJer,1_29_O,8,53.0,II,2.0,1.23723238,3.899986672,diff,0.3924323831498623,1.6,1923.6917407226565
89,R_11hm6t4X5BgCJer,1_29_O,9,57.0,#II,4.0,8.148955951,4.197098172,diff,0.3831734788417816,1.32,1933.620574951172
90,R_11hm6t4X5BgCJer,1_29_O,10,65.0,#II,0.0,6.713522181,5.101330561,diff,0.3848696619272232,1.33,1932.7353112792969
91,R_11hm6t4X5BgCJer,1_29_S,-2,2.0,,,,,,,,
92,R_11hm6t4X5BgCJer,1_29_S,-1,2.0,,,,,,,,
93,R_11hm6t4X5BgCJer,1_29_S,0,2.0,iv,2.0,3.432598208,4.623874122,diff,0.3957472711801529,1.4,1895.9316064453128
94,R_11hm6t4X5BgCJer,1_29_S,1,17.0,-III,3.0,4.953294563,4.515126098,diff,0.38636608466506,1.29,1934.267550048828
95,R_11hm6t4X5BgCJer,1_29_S,2,-54.0,-vii,3.0,6.614425345,4.908530818,diff,0.389373485147953,1.69,1902.256767578125
96,R_11hm6t4X5BgCJer,1_29_S,3,-54.0,I,2.0,5.711208121,3.387914115,diff,0.3690587742626667,1.08,1936.807834472656
97,R_11hm6t4X5BgCJer,1_29_S,4,9.0,I,2.0,4.943615725,4.959501598,diff,0.3722437232732772,1.12,1954.6576916503907
98,R_11hm6t4X5BgCJer,1_29_S,5,-69.0,ivo,2.0,6.849432623,5.154036744,diff,0.3991648709774017,1.62,1863.3330102539064
99,R_11hm6t4X5BgCJer,1_29_S,6,33.0,#I,2.0,7.219987207,4.167272574,diff,0.3815053048729896,1.14,1953.1887060546876
100,R_11hm6t4X5BgCJer,1_29_S,7,23.0,II,1.0,3.160945809,4.693772279,diff,0.3939505486190319,1.84,1934.5139196777343
101,R_11hm6t4X5BgCJer,1_29_S,8,0.0,II,2.0,1.23723238,3.899986672,diff,0.3924320730566978,1.6,1923.6915478515623
102,R_11hm6t4X5BgCJer,1_29_S,9,28.0,#II,3.0,7.819428413,4.710131505,diff,0.3831732375919819,1.32,1933.6203552246093
103,R_11hm6t4X5BgCJer,1_29_S,10,-3.0,#II,0.0,6.713522181,5.101330561,diff,0.3848688361048698,1.33,1932.735382080078
104,R_11hm6t4X5BgCJer,2_14_O,-2,,,,,,,,,
105,R_11hm6t4X5BgCJer,2_14_O,-1,,,,,,,,,
106,R_11hm6t4X5BgCJer,2_14_O,0,-1.0,II,7.0,4.976741572,4.681977862,same,0.3830081625282764,1.19,1956.9243811035155
107,R_11hm6t4X5BgCJer,2_14_O,1,-17.0,V,4.0,0.5340987918,2.465682574,same,0.3774457895755768,1.64,1940.298973388672
108,R_11hm6t4X5BgCJer,2_14_O,2,-8.0,I,8.0,1.891262873,4.300370488,same,0.3616530781984329,1.29,1865.925498046875
109,R_11hm6t4X5BgCJer,2_14_O,3,23.0,IV,9.0,2.541591344,4.808225765,same,0.3932518318295478,1.24,1962.8193359375
110,R_11hm6t4X5BgCJer,2_14_O,4,29.0,I,7.0,0.8638151729,3.186495745,same,0.3515157333016395,1.31,1871.7534301757812
111,R_11hm6t4X5BgCJer,2_14_O,5,-56.0,V+,6.0,8.049121377,3.639555553,same,0.4074164760112762,1.64,1980.4648205566407
112,R_11hm6t4X5BgCJer,2_14_O,6,-2.0,I,1.0,3.793045482,5.207060192,same,0.3562590317428112,1.28,1877.5638024902344
113,R_11hm6t4X5BgCJer,2_14_O,7,38.0,IV,2.0,4.301337152,5.272412559,same,0.3887652689218521,1.22,1946.2508642578125
114,R_11hm6t4X5BgCJer,2_14_O,8,34.0,I,3.0,4.592055069,5.061006711,same,0.3547029067575931,1.21,1867.5308264160155
115,R_11hm6t4X5BgCJer,2_14_O,9,47.0,I,3.0,3.962541462,5.306896587,same,0.3541190131008625,1.28,1875.749455566406
116,R_11hm6t4X5BgCJer,2_14_O,10,60.0,IV,4.0,4.054971171,5.236986381,same,0.3879170644283294,1.22,1947.8462268066403
117,R_11hm6t4X5BgCJer,2_14_S,-2,,,,,,,,,
118,R_11hm6t4X5BgCJer,2_14_S,-1,,,,,,,,,
119,R_11hm6t4X5BgCJer,2_14_S,0,1.0,II,7.0,4.976741572,4.681977862,same,0.3830081625282764,1.19,1956.9243811035155
120,R_11hm6t4X5BgCJer,2_14_S,1,13.0,V,4.0,0.5340987918,2.465682574,same,0.3774457895755768,1.64,1940.298973388672
121,R_11hm6t4X5BgCJer,2_14_S,2,29.0,I,8.0,1.891262873,4.300370488,same,0.3616530781984329,1.29,1865.925498046875
122,R_11hm6t4X5BgCJer,2_14_S,3,35.0,IV,9.0,2.541591344,4.808225765,same,0.3932518318295478,1.24,1962.8193359375
123,R_11hm6t4X5BgCJer,2_14_S,4,34.0,I,7.0,0.8638151729,3.186495745,same,0.3515157333016395,1.31,1871.7534338378907
124,R_11hm6t4X5BgCJer,2_14_S,5,34.0,-V,6.0,8.049121377,3.639555553,same,0.3850214825570583,1.78,1848.3057006835936
125,R_11hm6t4X5BgCJer,2_14_S,6,21.0,I,1.0,5.03763517,5.402441086,same,0.3610274474322796,1.28,1877.339794921875
126,R_11hm6t4X5BgCJer,2_14_S,7,32.0,IV,2.0,5.428224124,5.172707439,same,0.3887651479244232,1.22,1946.250928955078
127,R_11hm6t4X5BgCJer,2_14_S,8,25.0,I,2.0,4.332751267,5.379991779,same,0.3547026914358139,1.21,1867.5311169433592
128,R_11hm6t4X5BgCJer,2_14_S,9,-24.0,I,3.0,3.962541462,5.306896587,same,0.3541186048090458,1.28,1875.7489221191408
129,R_11hm6t4X5BgCJer,2_14_S,10,19.0,IV,4.0,4.054971171,5.236986381,same,0.3879161700606346,1.22,1947.847042236328
130,R_11hm6t4X5BgCJer,2_20_O,-2,,,,,,,,,
131,R_11hm6t4X5BgCJer,2_20_O,-1,,,,,,,,,
132,R_11hm6t4X5BgCJer,2_20_O,0,-1.0,I,5.0,2.410412989,4.885346012,diff,0.3823894493281841,1.28,1931.30701171875
133,R_11hm6t4X5BgCJer,2_20_O,1,-1.0,I,6.0,1.849036775,4.390264316,diff,0.3845217472314834,1.29,1934.4318676757812
134,R_11hm6t4X5BgCJer,2_20_O,2,33.0,IV,7.0,3.292950283,4.676006402,diff,0.3585559022426605,1.1,1956.4382275390624
135,R_11hm6t4X5BgCJer,2_20_O,3,33.0,IV,7.0,2.112240929,4.486370521,diff,0.3578926381468773,1.06,1948.1206311035155
136,R_11hm6t4X5BgCJer,2_20_O,4,43.0,V,8.0,3.357395643,4.764408863,diff,0.3762262026965618,1.67,1897.317438964844
137,R_11hm6t4X5BgCJer,2_20_O,5,53.0,#IV,9.0,8.627409516,3.17874493,diff,0.3609444761276245,1.41,1959.9244494628904
138,R_11hm6t4X5BgCJer,2_20_O,6,18.0,V,2.0,2.858096142,4.860656852,diff,0.3855293393135071,1.6,1901.3226037597656
139,R_11hm6t4X5BgCJer,2_20_O,7,-8.0,I,3.0,5.473779002,4.606338169,diff,0.3880584219098091,1.31,1933.301053466797
140,R_11hm6t4X5BgCJer,2_20_O,8,29.0,I,2.0,4.509643678,5.456019778,diff,0.3806428173184394,1.45,1938.1381872558593
141,R_11hm6t4X5BgCJer,2_20_O,9,-39.0,I,3.0,4.02649937,5.358034914,diff,0.3846961283683777,1.32,1933.7216638183593
142,R_11hm6t4X5BgCJer,2_20_O,10,-58.0,I,4.0,3.265050196,5.192436856,diff,0.3848688891530037,1.33,1932.734920654297
143,R_11hm6t4X5BgCJer,2_20_S,-2,-1.0,,,,,,,,
144,R_11hm6t4X5BgCJer,2_20_S,-1,-1.0,,,,,,,,
145,R_11hm6t4X5BgCJer,2_20_S,0,14.0,I,5.0,2.410412989,4.885346012,diff,0.3823894493281841,1.28,1931.30701171875
146,R_11hm6t4X5BgCJer,2_20_S,1,1.0,I,6.0,1.849036775,4.390264316,diff,0.3845217472314834,1.29,1934.4318676757812
147,R_11hm6t4X5BgCJer,2_20_S,2,18.0,IV,7.0,3.292950283,4.676006402,diff,0.3585559022426605,1.1,1956.4382275390624
148,R_11hm6t4X5BgCJer,2_20_S,3,27.0,IV,7.0,2.112240929,4.486370521,diff,0.3578926381468773,1.06,1948.1206311035155
149,R_11hm6t4X5BgCJer,2_20_S,4,21.0,V,8.0,3.357395643,4.764408863,diff,0.3762262026965618,1.67,1897.317438964844
150,R_11hm6t4X5BgCJer,2_20_S,5,16.0,vio,9.0,8.627409516,3.17874493,diff,0.3640019237995148,1.14,1924.958839111328
151,R_11hm6t4X5BgCJer,2_20_S,6,6.0,V,2.0,4.857480484,4.540377077,diff,0.3876729820668697,1.6,1901.406298828125
152,R_11hm6t4X5BgCJer,2_20_S,7,7.0,I,2.0,5.1027507,5.153240517,diff,0.3884016770124435,1.31,1933.3009899902345
153,R_11hm6t4X5BgCJer,2_20_S,8,-3.0,I,2.0,4.509643678,5.456019778,diff,0.3806439851224422,1.45,1938.138076171875
154,R_11hm6t4X5BgCJer,2_20_S,9,-27.0,I,3.0,4.02649937,5.358034914,diff,0.3846961656212807,1.32,1933.7218029785156
155,R_11hm6t4X5BgCJer,2_20_S,10,-45.0,I,4.0,3.265050196,5.192436856,diff,0.3848694679141045,1.33,1932.7355395507811
156,R_11hm6t4X5BgCJer,2_40_O,-2,,,,,,,,,
157,R_11hm6t4X5BgCJer,2_40_O,-1,-1.0,,,,,,,,
158,R_11hm6t4X5BgCJer,2_40_O,0,8.0,I,6.0,2.286661151,4.613582186,diff,0.358775620162487,1.53,1954.3548962402344
159,R_11hm6t4X5BgCJer,2_40_O,1,20.0,IV,7.0,2.402621205,4.730148204,diff,0.3973574540019035,1.87,1936.1495825195311
160,R_11hm6t4X5BgCJer,2_40_O,2,29.0,V,8.0,1.120797348,3.191823123,diff,0.3953138738870621,1.27,1948.4110571289064
161,R_11hm6t4X5BgCJer,2_40_O,3,35.0,I,9.0,1.234271396,3.674196161,diff,0.3585298506915569,1.54,1953.4761901855468
162,R_11hm6t4X5BgCJer,2_40_O,4,34.0,IV,10.0,3.045116967,4.834656079,diff,0.3946036465466022,1.82,1936.8656066894532
163,R_11hm6t4X5BgCJer,2_40_O,5,-24.0,-vio,10.0,10.66762064,1.54376757,diff,0.3978293985128402,1.63,1856.1144323730468
164,R_11hm6t4X5BgCJer,2_40_O,6,51.0,vi,1.0,6.202064081,5.216754948,diff,0.3774028286337852,1.75,1894.239287109375
165,R_11hm6t4X5BgCJer,2_40_O,7,54.0,I,1.0,5.12423554,5.459869194,diff,0.371881273984909,1.48,1970.1357360839845
166,R_11hm6t4X5BgCJer,2_40_O,8,59.0,IV,2.0,3.697211431,5.236700113,diff,0.3873887984454632,1.75,1925.1329931640623
167,R_11hm6t4X5BgCJer,2_40_O,9,86.0,V,3.0,3.892633351,5.18115641,diff,0.3897402754426002,1.22,1940.267961425781
168,R_11hm6t4X5BgCJer,2_40_O,10,32.0,I,4.0,2.715116517,4.893784162,diff,0.3680696693062782,1.48,1970.566623535156
169,R_11hm6t4X5BgCJer,2_40_S,-2,8.0,,,,,,,,
170,R_11hm6t4X5BgCJer,2_40_S,-1,8.0,,,,,,,,
171,R_11hm6t4X5BgCJer,2_40_S,0,24.0,I,6.0,2.286661151,4.613582186,diff,0.358775620162487,1.53,1954.3548962402344
172,R_11hm6t4X5BgCJer,2_40_S,1,18.0,IV,7.0,2.402621205,4.730148204,diff,0.3973574540019035,1.87,1936.1495825195311
173,R_11hm6t4X5BgCJer,2_40_S,2,32.0,V,8.0,1.120797348,3.191823123,diff,0.3953138738870621,1.27,1948.4110571289064
174,R_11hm6t4X5BgCJer,2_40_S,3,42.0,I,9.0,1.234271396,3.674196161,diff,0.3585298506915569,1.54,1953.4761901855468
175,R_11hm6t4X5BgCJer,2_40_S,4,54.0,IV,10.0,3.045116967,4.834656079,diff,0.3946036465466022,1.82,1936.8656091308592
176,R_11hm6t4X5BgCJer,2_40_S,5,-40.0,-ii,10.0,10.66762064,1.54376757,diff,0.3825821760296821,1.67,1886.720284423828
177,R_11hm6t4X5BgCJer,2_40_S,6,-39.0,vi,1.0,6.352070348,5.106758281,diff,0.3776340809464454,1.75,1894.120125732422
178,R_11hm6t4X5BgCJer,2_40_S,7,21.0,I,1.0,5.12423554,5.459869194,diff,0.3717134457826614,1.48,1970.1362231445312
179,R_11hm6t4X5BgCJer,2_40_S,8,-5.0,IV,2.0,3.697211431,5.236700113,diff,0.3873882690072059,1.75,1925.1331762695313
180,R_11hm6t4X5BgCJer,2_40_S,9,73.0,V,3.0,3.892633351,5.18115641,diff,0.3897390106320381,1.22,1940.267596435547
181,R_11hm6t4X5BgCJer,2_40_S,10,49.0,I,4.0,2.715116517,4.893784162,diff,0.3680688449740409,1.48,1970.5666259765624
182,R_11hm6t4X5BgCJer,2_70_O,-2,,,,,,,,,
183,R_11hm6t4X5BgCJer,2_70_O,-1,,,,,,,,,
184,R_11hm6t4X5BgCJer,2_70_O,0,,I,6.0,1.892639598,4.498990275,same,0.3995297524333,1.74,1934.4464709472657
185,R_11hm6t4X5BgCJer,2_70_O,1,22.0,V,7.0,2.053600333,4.610023322,same,0.3589368742704391,1.44,1970.0960620117187
186,R_11hm6t4X5BgCJer,2_70_O,2,31.0,IV,8.0,2.124749617,4.382333838,same,0.3818417425453663,1.39,1967.37009765625
187,R_11hm6t4X5BgCJer,2_70_O,3,38.0,V,9.0,1.725134923,4.123276653,same,0.3666623705625534,1.47,1968.5581262207031
188,R_11hm6t4X5BgCJer,2_70_O,4,43.0,I,10.0,1.424349956,3.997459319,same,0.3897566716372966,1.78,1925.8162072753903
189,R_11hm6t4X5BgCJer,2_70_O,5,45.0,III,10.0,8.77417927,1.597866797,same,0.3878033554553985,1.74,1938.8582263183591
190,R_11hm6t4X5BgCJer,2_70_O,6,55.0,IV,4.0,0.9777902915,3.217042075,same,0.3783215236663818,1.36,1964.5647802734377
191,R_11hm6t4X5BgCJer,2_70_O,7,62.0,V,5.0,1.016337907,3.359526927,same,0.3594507783651351,1.45,1970.2713220214844
192,R_11hm6t4X5BgCJer,2_70_O,8,66.0,I,6.0,2.430293058,4.774449924,same,0.3994199267029762,1.7,1924.1192163085936
193,R_11hm6t4X5BgCJer,2_70_O,9,78.0,V,7.0,4.960559407,4.708881,same,0.3649288165569305,1.42,1962.1380554199216
194,R_11hm6t4X5BgCJer,2_70_O,10,78.0,IV,4.0,3.351609166,4.780202978,same,0.3769800093770027,1.35,1961.890672607422
195,R_11hm6t4X5BgCJer,2_70_S,-2,-1.0,,,,,,,,
196,R_11hm6t4X5BgCJer,2_70_S,-1,-1.0,,,,,,,,
197,R_11hm6t4X5BgCJer,2_70_S,0,-1.0,I,6.0,1.892639598,4.498990275,same,0.3995297524333,1.74,1934.4464709472657
198,R_11hm6t4X5BgCJer,2_70_S,1,5.0,V,7.0,2.053600333,4.610023322,same,0.3589368742704391,1.44,1970.0960620117187
199,R_11hm6t4X5BgCJer,2_70_S,2,29.0,IV,8.0,2.124749617,4.382333838,same,0.3818417425453663,1.39,1967.37009765625
200,R_11hm6t4X5BgCJer,2_70_S,3,31.0,V,9.0,1.725134923,4.123276653,same,0.3666623705625534,1.47,1968.5581262207031
201,R_11hm6t4X5BgCJer,2_70_S,4,37.0,I,10.0,1.424349956,3.997459319,same,0.3897566710412502,1.78,1925.816208496094
202,R_11hm6t4X5BgCJer,2_70_S,5,32.0,-III,10.0,8.776193132,1.597866797,same,0.3851599514484405,1.78,1848.362391357422
203,R_11hm6t4X5BgCJer,2_70_S,6,45.0,IV,4.0,1.895987332,4.707430025,same,0.374647292047739,1.34,1964.325881347656
204,R_11hm6t4X5BgCJer,2_70_S,7,46.0,V,5.0,4.403844138,3.234612226,same,0.3594512361288071,1.45,1970.2715954589844
