ResponseId,Q23,Q24,Q26_1,Q26_2,Q26_3,Q26_4,Q26_5,Q26_6,Q26_7,Q26_8,Q26_9,Q26_10,Q26_11,Q26_12,Q26_13,Q26_14,Q26_15,Q26_16,Q26_17,Q26_18,Q26_19,Q26_20,Q27_1,Q27_2,Q27_3,Q27_4,Q27_5,Q27_6,Q27_7,Q27_8,Q27_9,Q27_10,Q27_11,Q27_12,Q27_13,Q27_14,Q27_15,Q27_16,Q27_17,Q27_18,Q27_19,Q27_20,Q27_21,Q27_22,Q27_23,Q27_24,Q27_25,Q27_26,Q27_27,Q27_28,Q27_29,Q27_30,Q27_31,Q28,Q30,Q31,Q32,Q33,Q34,Q35,age,gender,bmrq_total,goldsmi_gen,goldmsi_mt
R_6CPHrtuj7SP8UUC,24.0,2.0,5.0,1.0,5.0,5.0,2.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,2.0,5.0,5.0,4.0,2.0,5.0,5.0,4.0,6.0,7.0,3.0,3.0,6.0,7.0,3.0,7.0,1.0,5.0,2.0,7.0,3.0,1.0,6.0,7.0,2.0,7.0,6.0,6.0,6.0,7.0,5.0,5.0,2.0,5.0,5.0,6.0,3.0,3.0,7.0,5.0,5.0,1.0,1.0,1.0,2.0,3.0,24.0,2.0,88.0,84.0,24.0
R_5BQMO4HCVitDKDr,22.0,2.0,4.0,3.0,5.0,5.0,1.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,3.0,4.0,4.0,4.0,6.0,7.0,4.0,2.0,6.0,6.0,6.0,7.0,2.0,7.0,2.0,5.0,3.0,4.0,5.0,7.0,2.0,6.0,5.0,7.0,4.0,6.0,2.0,5.0,5.0,4.0,6.0,5.0,5.0,4.0,7.0,5.0,3.0,2.0,6.0,5.0,4.0,3.0,22.0,2.0,82.0,83.0,29.0
R_7D5CyBlRpKaBWlr,18.0,1.0,4.0,1.0,5.0,5.0,3.0,2.0,5.0,5.0,5.0,3.0,5.0,2.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,7.0,2.0,6.0,4.0,6.0,7.0,7.0,6.0,1.0,5.0,2.0,6.0,2.0,1.0,7.0,7.0,6.0,6.0,5.0,7.0,2.0,6.0,5.0,7.0,5.0,6.0,1.0,7.0,5.0,3.0,7.0,6.0,4.0,4.0,2.0,6.0,4.0,4.0,18.0,1.0,88.0,95.0,36.0
R_3FSbLaIbYu79r78,21.0,1.0,4.0,2.0,4.0,4.0,3.0,5.0,4.0,4.0,4.0,3.0,2.0,2.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,5.0,4.0,3.0,7.0,6.0,6.0,6.0,2.0,5.0,3.0,5.0,3.0,2.0,6.0,5.0,3.0,5.0,5.0,5.0,3.0,5.0,2.0,5.0,3.0,5.0,1.0,5.0,5.0,4.0,5.0,5.0,6.0,4.0,1.0,1.0,6.0,2.0,21.0,1.0,75.0,95.0,32.0
R_3TiyiRowq9eTX8J,18.0,1.0,4.0,2.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,2.0,4.0,5.0,2.0,4.0,4.0,3.0,2.0,4.0,5.0,4.0,3.0,5.0,2.0,2.0,2.0,5.0,4.0,3.0,2.0,2.0,2.0,6.0,3.0,6.0,6.0,5.0,6.0,2.0,5.0,6.0,5.0,2.0,6.0,5.0,7.0,5.0,7.0,5.0,2.0,2.0,5.0,1.0,1.0,1.0,3.0,3.0,1.0,7.0,18.0,1.0,75.0,48.0,12.0
R_6anxUAYCOl9WRmc,18.0,2.0,4.0,1.0,5.0,5.0,2.0,3.0,4.0,5.0,5.0,4.0,3.0,3.0,2.0,5.0,3.0,4.0,3.0,4.0,5.0,3.0,5.0,5.0,3.0,5.0,4.0,7.0,4.0,6.0,2.0,4.0,3.0,6.0,6.0,4.0,6.0,7.0,4.0,4.0,5.0,6.0,5.0,4.0,5.0,5.0,3.0,6.0,7.0,4.0,5.0,3.0,7.0,2.0,2.0,3.0,1.0,1.0,2.0,7.0,18.0,2.0,79.0,71.0,13.0
R_5e50bw1UZocht0y,21.0,2.0,4.0,4.0,5.0,4.0,2.0,1.0,2.0,5.0,4.0,4.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,4.0,4.0,2.0,1.0,3.0,1.0,2.0,7.0,7.0,1.0,3.0,7.0,1.0,5.0,3.0,6.0,7.0,1.0,3.0,7.0,3.0,3.0,4.0,7.0,5.0,6.0,1.0,6.0,6.0,7.0,1.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,21.0,2.0,55.0,26.0,8.0
R_3G3Y6hfZSzdgBIk,19.0,2.0,4.0,1.0,5.0,5.0,4.0,4.0,3.0,4.0,5.0,2.0,3.0,4.0,5.0,5.0,2.0,3.0,1.0,4.0,5.0,2.0,3.0,3.0,2.0,1.0,3.0,5.0,2.0,5.0,2.0,4.0,4.0,2.0,3.0,4.0,4.0,5.0,4.0,4.0,3.0,3.0,5.0,3.0,5.0,5.0,7.0,3.0,5.0,4.0,2.0,2.0,4.0,1.0,1.0,3.0,1.0,3.0,2.0,6.0,19.0,2.0,73.0,47.0,15.0
R_5HSUjAwXWAqyfxD,19.0,2.0,5.0,1.0,5.0,5.0,2.0,5.0,5.0,5.0,2.0,2.0,5.0,4.0,4.0,3.0,3.0,3.0,5.0,5.0,5.0,2.0,7.0,5.0,4.0,2.0,5.0,5.0,7.0,7.0,2.0,6.0,4.0,6.0,3.0,2.0,7.0,5.0,4.0,5.0,6.0,7.0,2.0,6.0,4.0,7.0,5.0,5.0,3.0,7.0,5.0,3.0,7.0,6.0,5.0,4.0,6.0,6.0,7.0,5.0,19.0,2.0,82.0,97.0,41.0
R_53uQeWN39gLkXLP,18.0,2.0,4.0,5.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,5.0,5.0,3.0,3.0,5.0,5.0,2.0,5.0,2.0,5.0,2.0,5.0,3.0,3.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,7.0,4.0,2.0,7.0,7.0,2.0,2.0,18.0,2.0,73.0,79.0,37.0
R_3mqn53rHOjfcngB,19.0,2.0,5.0,1.0,4.0,5.0,1.0,3.0,5.0,4.0,5.0,5.0,4.0,3.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,7.0,2.0,1.0,5.0,7.0,7.0,5.0,2.0,3.0,5.0,5.0,4.0,1.0,6.0,7.0,7.0,6.0,5.0,4.0,2.0,5.0,6.0,7.0,7.0,6.0,2.0,5.0,4.0,3.0,6.0,6.0,2.0,4.0,1.0,6.0,4.0,3.0,19.0,2.0,91.0,74.0,32.0
R_1FQflkMldupaWLW,22.0,2.0,5.0,1.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,3.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,7.0,5.0,5.0,2.0,5.0,5.0,7.0,3.0,1.0,6.0,1.0,5.0,1.0,2.0,7.0,7.0,3.0,6.0,6.0,6.0,2.0,7.0,1.0,7.0,7.0,5.0,4.0,6.0,5.0,4.0,6.0,6.0,4.0,4.0,6.0,7.0,2.0,7.0,22.0,2.0,88.0,92.0,35.0
R_6ZNxkJ8czyVt7E1,20.0,1.0,2.0,1.0,4.0,3.0,2.0,2.0,1.0,4.0,4.0,3.0,5.0,1.0,1.0,3.0,1.0,1.0,1.0,5.0,4.0,5.0,2.0,4.0,1.0,5.0,6.0,1.0,1.0,3.0,1.0,5.0,1.0,4.0,1.0,3.0,2.0,5.0,3.0,7.0,5.0,3.0,6.0,7.0,1.0,3.0,3.0,6.0,5.0,2.0,2.0,1.0,5.0,3.0,2.0,3.0,1.0,3.0,3.0,4.0,20.0,1.0,59.0,63.0,20.0
R_322x31PwAj0M5GN,18.0,2.0,4.0,2.0,4.0,4.0,4.0,3.0,2.0,2.0,4.0,1.0,2.0,1.0,3.0,4.0,4.0,5.0,2.0,5.0,4.0,4.0,5.0,3.0,2.0,3.0,5.0,6.0,5.0,3.0,4.0,5.0,6.0,5.0,3.0,5.0,3.0,5.0,5.0,5.0,3.0,5.0,6.0,5.0,3.0,3.0,6.0,6.0,5.0,5.0,5.0,3.0,5.0,3.0,2.0,2.0,1.0,4.0,2.0,3.0,18.0,2.0,64.0,62.0,18.0
R_7wp3WmD3UFSKp9M,21.0,2.0,4.0,1.0,4.0,5.0,2.0,4.0,5.0,4.0,4.0,3.0,4.0,3.0,3.0,5.0,4.0,4.0,3.0,3.0,5.0,5.0,5.0,4.0,2.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,3.0,5.0,3.0,3.0,3.0,6.0,3.0,6.0,5.0,5.0,4.0,5.0,3.0,5.0,4.0,5.0,4.0,5.0,4.0,3.0,6.0,5.0,7.0,4.0,2.0,5.0,3.0,6.0,21.0,2.0,81.0,81.0,31.0
R_62Rs0EUUEsYnwXI,19.0,2.0,4.0,1.0,4.0,5.0,2.0,4.0,4.0,5.0,4.0,2.0,4.0,5.0,2.0,4.0,4.0,3.0,2.0,3.0,4.0,4.0,3.0,5.0,2.0,2.0,5.0,6.0,2.0,5.0,3.0,1.0,2.0,2.0,1.0,5.0,2.0,6.0,7.0,4.0,2.0,2.0,5.0,4.0,6.0,6.0,7.0,6.0,7.0,5.0,6.0,5.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,19.0,2.0,76.0,39.0,9.0
R_1TxCWzBLCRYWFYl,19.0,2.0,5.0,1.0,4.0,5.0,1.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,3.0,5.0,2.0,4.0,6.0,6.0,7.0,5.0,2.0,5.0,2.0,5.0,2.0,3.0,4.0,6.0,3.0,6.0,5.0,5.0,5.0,6.0,3.0,7.0,3.0,6.0,3.0,5.0,5.0,6.0,7.0,4.0,4.0,4.0,2.0,3.0,4.0,5.0,19.0,2.0,94.0,84.0,27.0
R_7TuVgZfkHx9dFMD,18.0,2.0,5.0,2.0,5.0,5.0,1.0,5.0,4.0,5.0,4.0,5.0,3.0,1.0,3.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,2.0,3.0,2.0,6.0,5.0,6.0,7.0,5.0,2.0,2.0,2.0,5.0,3.0,1.0,4.0,7.0,6.0,7.0,5.0,7.0,4.0,6.0,7.0,3.0,1.0,6.0,7.0,5.0,6.0,2.0,4.0,5.0,3.0,3.0,1.0,5.0,2.0,3.0,18.0,2.0,86.0,70.0,24.0
R_3np9puN9JlT7IH3,19.0,2.0,4.0,1.0,4.0,5.0,1.0,4.0,3.0,5.0,4.0,4.0,5.0,4.0,2.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,2.0,6.0,4.0,5.0,5.0,5.0,4.0,4.0,3.0,5.0,3.0,6.0,6.0,7.0,4.0,7.0,5.0,7.0,4.0,5.0,5.0,7.0,2.0,6.0,5.0,5.0,6.0,4.0,6.0,2.0,1.0,4.0,1.0,3.0,2.0,7.0,19.0,2.0,83.0,73.0,14.0
R_36lHnpb15HnFYdh,20.0,1.0,5.0,2.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,2.0,3.0,4.0,5.0,5.0,4.0,2.0,2.0,2.0,4.0,4.0,5.0,4.0,3.0,4.0,6.0,6.0,5.0,5.0,2.0,4.0,3.0,6.0,3.0,3.0,5.0,6.0,3.0,5.0,5.0,5.0,5.0,6.0,3.0,4.0,6.0,5.0,3.0,5.0,5.0,4.0,5.0,4.0,4.0,2.0,1.0,1.0,2.0,4.0,20.0,1.0,74.0,78.0,22.0
R_3GO2G8l7RjVyHoR,18.0,2.0,5.0,1.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,7.0,7.0,2.0,2.0,2.0,6.0,3.0,3.0,1.0,1.0,6.0,2.0,1.0,7.0,6.0,3.0,6.0,2.0,7.0,6.0,1.0,3.0,7.0,7.0,3.0,6.0,7.0,7.0,7.0,3.0,7.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,18.0,2.0,97.0,57.0,7.0
R_3nj2UiAJ34Y31tv,22.0,3.0,3.0,2.0,4.0,4.0,2.0,4.0,3.0,4.0,5.0,2.0,2.0,2.0,4.0,4.0,5.0,2.0,1.0,4.0,4.0,4.0,5.0,5.0,2.0,2.0,2.0,5.0,5.0,3.0,3.0,4.0,5.0,2.0,3.0,6.0,3.0,5.0,5.0,3.0,2.0,3.0,7.0,3.0,6.0,5.0,5.0,2.0,7.0,3.0,5.0,3.0,6.0,3.0,3.0,2.0,1.0,2.0,1.0,2.0,22.0,3.0,69.0,53.0,13.0
R_7ajSdUpZgksrXjz,20.0,1.0,4.0,1.0,4.0,4.0,3.0,4.0,4.0,3.0,5.0,2.0,3.0,1.0,5.0,4.0,4.0,3.0,1.0,4.0,4.0,4.0,5.0,4.0,1.0,1.0,3.0,5.0,4.0,3.0,5.0,2.0,5.0,1.0,5.0,1.0,2.0,5.0,3.0,6.0,4.0,4.0,7.0,5.0,4.0,5.0,7.0,5.0,2.0,4.0,5.0,4.0,6.0,7.0,4.0,1.0,1.0,7.0,2.0,3.0,20.0,1.0,71.0,66.0,34.0
R_1cnhbMhuECa9fX5,19.0,1.0,5.0,2.0,4.0,4.0,3.0,5.0,4.0,5.0,5.0,3.0,2.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,7.0,4.0,5.0,2.0,3.0,5.0,6.0,4.0,2.0,2.0,4.0,5.0,4.0,1.0,7.0,6.0,2.0,6.0,4.0,5.0,3.0,5.0,4.0,4.0,5.0,3.0,1.0,3.0,3.0,2.0,6.0,1.0,6.0,3.0,1.0,5.0,3.0,2.0,19.0,1.0,87.0,82.0,30.0
R_7Lu4QIq3X8HK6A4,20.0,1.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,5.0,1.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,5.0,5.0,5.0,6.0,5.0,6.0,5.0,5.0,6.0,5.0,6.0,5.0,5.0,5.0,6.0,6.0,5.0,5.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,5.0,6.0,7.0,6.0,7.0,7.0,3.0,4.0,6.0,6.0,2.0,3.0,20.0,1.0,69.0,79.0,30.0
R_57mv6qMHJatnktk,20.0,2.0,3.0,1.0,4.0,4.0,1.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,2.0,4.0,5.0,3.0,1.0,4.0,5.0,4.0,3.0,5.0,1.0,2.0,5.0,6.0,2.0,5.0,2.0,4.0,3.0,5.0,4.0,3.0,6.0,5.0,5.0,6.0,5.0,6.0,7.0,5.0,3.0,4.0,7.0,5.0,6.0,5.0,5.0,2.0,5.0,3.0,3.0,2.0,1.0,5.0,2.0,4.0,20.0,2.0,79.0,61.0,21.0
R_7UgTFkj1C6rNo5k,21.0,1.0,3.0,2.0,4.0,1.0,1.0,2.0,1.0,5.0,4.0,5.0,1.0,3.0,4.0,2.0,5.0,1.0,1.0,2.0,2.0,5.0,3.0,3.0,1.0,5.0,1.0,6.0,4.0,1.0,4.0,1.0,1.0,1.0,6.0,2.0,1.0,5.0,4.0,3.0,1.0,5.0,7.0,1.0,7.0,1.0,2.0,2.0,7.0,2.0,7.0,3.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,3.0,21.0,1.0,60.0,46.0,12.0
R_7qW0qJgzLWxGmIp,18.0,2.0,4.0,2.0,5.0,5.0,1.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,3.0,5.0,5.0,5.0,2.0,5.0,5.0,4.0,4.0,7.0,4.0,6.0,5.0,7.0,7.0,7.0,7.0,6.0,3.0,5.0,2.0,3.0,3.0,6.0,3.0,5.0,4.0,7.0,6.0,5.0,3.0,7.0,4.0,5.0,5.0,7.0,7.0,5.0,7.0,1.0,5.0,4.0,1.0,2.0,2.0,5.0,18.0,2.0,88.0,83.0,19.0
R_54vZUwQFpC5yYnU,18.0,2.0,5.0,1.0,4.0,5.0,2.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,7.0,6.0,4.0,5.0,6.0,6.0,7.0,6.0,2.0,3.0,2.0,7.0,2.0,1.0,6.0,7.0,2.0,7.0,6.0,6.0,1.0,6.0,3.0,7.0,3.0,6.0,1.0,7.0,6.0,5.0,7.0,6.0,6.0,7.0,6.0,7.0,6.0,6.0,18.0,2.0,90.0,106.0,45.0
R_5sShiW4FtJ2iJft,19.0,1.0,4.0,1.0,5.0,5.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,7.0,3.0,6.0,6.0,7.0,6.0,4.0,19.0,1.0,83.0,76.0,37.0
R_6pU0piaLpro8dYR,21.0,2.0,4.0,2.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,5.0,3.0,3.0,5.0,5.0,3.0,4.0,5.0,3.0,3.0,5.0,3.0,4.0,3.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,21.0,2.0,65.0,61.0,12.0
R_11hm6t4X5BgCJer,21.0,1.0,4.0,2.0,4.0,4.0,1.0,4.0,3.0,5.0,4.0,3.0,4.0,2.0,5.0,5.0,5.0,5.0,2.0,5.0,4.0,5.0,4.0,5.0,2.0,6.0,6.0,7.0,7.0,5.0,2.0,4.0,1.0,7.0,1.0,1.0,2.0,7.0,7.0,6.0,5.0,7.0,7.0,7.0,7.0,2.0,3.0,6.0,1.0,4.0,6.0,2.0,5.0,7.0,5.0,4.0,7.0,7.0,2.0,4.0,21.0,1.0,82.0,80.0,42.0
R_3SlsEB84RFtsYaB,18.0,2.0,4.0,1.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,7.0,7.0,2.0,6.0,5.0,2.0,6.0,6.0,1.0,7.0,2.0,6.0,3.0,1.0,6.0,6.0,1.0,6.0,6.0,7.0,4.0,5.0,1.0,7.0,4.0,2.0,2.0,6.0,6.0,3.0,7.0,4.0,5.0,4.0,2.0,5.0,2.0,3.0,18.0,2.0,99.0,101.0,31.0
R_7TYziOVIPnw7Tt7,22.0,1.0,4.0,2.0,4.0,3.0,5.0,4.0,3.0,4.0,4.0,1.0,4.0,1.0,1.0,3.0,2.0,1.0,1.0,4.0,4.0,1.0,2.0,5.0,1.0,1.0,5.0,7.0,1.0,5.0,4.0,1.0,3.0,5.0,2.0,7.0,2.0,3.0,7.0,4.0,5.0,6.0,7.0,5.0,2.0,2.0,5.0,6.0,7.0,3.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,22.0,1.0,54.0,36.0,7.0
R_3QgBlGFmAXQOOYo,19.0,2.0,5.0,1.0,4.0,4.0,2.0,5.0,4.0,5.0,4.0,3.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,7.0,7.0,5.0,4.0,3.0,4.0,6.0,7.0,2.0,5.0,4.0,6.0,3.0,1.0,7.0,7.0,4.0,7.0,6.0,7.0,1.0,7.0,3.0,7.0,4.0,6.0,1.0,7.0,4.0,4.0,7.0,6.0,3.0,7.0,6.0,6.0,4.0,6.0,19.0,2.0,92.0,97.0,39.0
R_5exvTvnYGQxYHmk,21.0,1.0,5.0,1.0,5.0,5.0,2.0,5.0,4.0,5.0,5.0,3.0,4.0,4.0,3.0,5.0,5.0,4.0,2.0,5.0,5.0,5.0,7.0,6.0,1.0,1.0,5.0,6.0,3.0,5.0,1.0,2.0,3.0,5.0,3.0,1.0,7.0,7.0,4.0,6.0,4.0,6.0,5.0,5.0,3.0,6.0,7.0,6.0,5.0,6.0,2.0,1.0,7.0,5.0,5.0,2.0,6.0,6.0,3.0,6.0,21.0,1.0,88.0,71.0,35.0
R_6qiVb9WslcV95D3,18.0,2.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,2.0,2.0,5.0,1.0,5.0,5.0,4.0,5.0,4.0,6.0,5.0,5.0,2.0,5.0,6.0,5.0,7.0,1.0,2.0,3.0,6.0,2.0,6.0,7.0,7.0,7.0,5.0,7.0,7.0,3.0,6.0,5.0,7.0,7.0,3.0,6.0,7.0,4.0,1.0,6.0,3.0,2.0,3.0,4.0,4.0,2.0,7.0,18.0,2.0,82.0,67.0,19.0
