original_code,original_label,reduced_label,reduced_code
429,3:maj7/5,3:maj7,40
430,4:dim/b5,4:dim,111
431,5:1(b7),5:maj,2
432,5:aug,5:aug,112
433,5:maj(9)/3,5:maj,2
434,6:5,6:maj,34
435,"6:sus4(b7,9)",6:sus4(b7),113
436,7:7/b11,7:7,7
437,8:maj/13,8:maj,9
438,9:7(b9),9:7,31
439,9:hdim7,9:hdim7,114
440,9:min/7,9:min,6
441,0:13,0:7,12
442,0:aug(9),0:aug,89
443,0:maj7/3,0:maj7,20
444,0:minmaj7,0:minmaj7,115
445,0:sus2/9,0:sus2,43
446,0:sus4/b7,0:sus4,35
447,1:9,1:7,87
448,1:dim/b3,1:dim,69
449,1:dim/b5,1:dim,69
450,1:maj/b5,1:maj,30
451,10:sus2,10:sus2,58
452,"2:1(b5,11)",2:maj,18
453,2:7(#11),2:7,28
454,2:9(#11),2:7,28
455,2:hdim7/b5,2:hdim7,49
456,2:maj/9,2:maj,18
457,2:maj6,2:maj,18
458,2:min/9,2:min,10
459,2:min9/11,2:min7,8
460,2:min9/b3,2:min7,8
461,3:hdim7/b7,3:hdim7,116
462,3:maj6(9)/3,3:maj,11
463,3:maj6/5,3:maj,11
464,3:min/b7,3:min,68
465,4:7(b13)/3,4:7,33
466,"4:7(b9,b13)",4:7,33
467,4:aug,4:aug,70
468,4:min/b7,4:min,17
469,4:min7/b3,4:min7,16
470,5:9/5,5:7,15
471,5:maj(9)/9,5:maj,2
472,5:maj/b7,5:maj,2
473,5:min/11,5:min,21
474,6:aug,6:aug,117
475,6:dim/b9,6:dim,62
476,7:5(b7)/5,7:maj,3
477,7:9(b13),7:7,7
478,7:min7/b3,7:min7,27
479,8:min/b3,8:min,98
480,9:11,9:7,31
481,9:7/5,9:7,31
482,9:maj/b7,9:maj,29
483,9:maj7,9:maj7,118
484,9:sus2(b7),9:sus2(b7),119
485,"0:1(11,9)",0:maj,1
486,0:aug/5,0:aug,89
487,"1:sus4(b7,9)",1:sus4(b7),120
488,10:5(b7),10:maj,4
489,10:5/9,10:maj,4
490,10:7/b3,10:7,36
491,10:7/b7,10:7,36
492,10:aug,10:aug,121
493,10:maj7(#11),10:maj7,61
494,10:maj7(#11)/3,10:maj7,61
495,11:dim/b5,11:dim,90
496,11:min/b7,11:min,50
497,"2:7(b9,b13)",2:7,28
498,2:dim,2:dim,100
499,2:maj(9)/3,2:maj,18
500,2:maj6(9)/5,2:maj,18
501,2:min(b13),2:min,10
502,2:minmaj7/7,2:minmaj7,84
503,3:7/3,3:7,54
504,3:min(9),3:min,68
505,"3:sus4(b7,9)",3:sus4(b7),122
506,4:7(#11),4:7,33
507,4:7(#9),4:7,33
508,4:7(b13),4:7,33
509,4:7(b9)/5,4:7,33
510,4:7(b9)/b7,4:7,33
511,4:hdim7/b7,4:hdim7,93
512,4:sus4(9),4:sus4,92
513,"4:sus4(b7,9)",4:sus4(b7),66
514,5:7(#9),5:7,15
515,5:dim,5:dim,123
516,5:maj/11,5:maj,2
517,5:maj6(7),5:maj,2
518,5:min/b7,5:min,21
519,5:min6/9,5:min,21
520,5:min7/b7,5:min7,22
521,7:7(b9)/b9,7:7,7
522,7:maj(9)/5,7:maj,3
523,7:maj6/11,7:maj,3
524,7:maj9/3,7:maj7,41
525,7:min(9),7:min,24
526,7:min7(11),7:min7,27
527,8:hdim7,8:hdim7,124
528,"8:sus4(b7,9)",8:sus4(b7),107
529,"9:1(b5,b7,3)/b5",9:maj,29
530,9:maj9,9:maj7,118
531,9:min(11)/7,9:min,6
532,9:min/5,9:min,6
533,0:5(b13),0:maj,1
534,0:7(b13),0:7,12
535,0:maj(9)/5,0:maj,1
536,0:maj/#11,0:maj,1
537,0:maj7(#11),0:maj7,20
538,0:maj9(#11),0:maj7,20
539,0:maj9(13),0:maj7,20
540,0:min(9)/13,0:min,5
541,0:min(9)/b7,0:min,5
542,0:min/9,0:min,5
543,1:5,1:maj,30
544,1:9(13),1:7,87
545,1:aug,1:aug,125
546,1:dim/#11,1:dim,69
547,1:maj/3,1:maj,30
548,1:maj/9,1:maj,30
549,1:maj6,1:maj,30
550,10:7(b9),10:7,36
551,10:maj9/3,10:maj7,61
552,10:minmaj7,10:minmaj7,126
553,10:sus2(b7),10:sus2(b7),127
554,"11:1(b5,b7,3)",11:maj,39
555,11:dim7/b3,11:dim7,128
556,11:hdim7/b3,11:hdim7,63
557,11:maj/b11,11:maj,39
558,"2:1(b5,b7,3)",2:maj,18
559,2:13,2:7,28
560,2:5(b7),2:maj,18
561,2:7(b13),2:7,28
562,2:7(b9)/3,2:7,28
563,2:maj9,2:maj7,75
564,2:min(11)/11,2:min,10
565,2:min(11)/b7,2:min,10
566,2:sus2,2:sus2,129
567,"3:1(b5,b7,3)",3:maj,11
568,3:maj7/3,3:maj7,40
569,3:min7/5,3:min7,47
570,3:minmaj7,3:minmaj7,130
571,3:sus4/b7,3:sus4,59
572,4:7(b9),4:7,33
573,4:min9(b13),4:min7,16
574,5:7(#11),5:7,15
575,5:7(b9),5:7,15
576,5:maj(#11),5:maj,2
577,5:min(9)/5,5:min,21
578,5:min/3,5:min,21
579,5:min/9,5:min,21
580,5:min7/11,5:min7,22
581,5:min9/11,5:min7,22
582,5:minmaj7/5,5:minmaj7,131
583,5:sus2/3,5:sus2,45
584,5:sus4(9),5:sus4,37
585,"5:sus4(b7,9,#11)",5:sus4(b7),52
586,6:9,6:7,65
587,6:dim(b13),6:dim,62
588,6:hdim7/b3,6:hdim7,82
589,7:7(11),7:7,7
590,"7:7(b13,#9)",7:7,7
591,7:7(b9)/3,7:7,7
592,7:7/13,7:7,7
593,7:7/9,7:7,7
594,7:maj(11)/11,7:maj,3
595,7:maj6(b7),7:maj,3
596,7:maj7(b7)/3,7:maj7,41
597,7:min9/9,7:min7,27
598,7:sus2,7:sus2,132
599,7:sus4(9)/7,7:sus4,23
600,"7:sus4(b7,9)/5",7:sus4(b7),25
601,"8:1(b5,b7,3)",8:maj,9
602,8:dim/7,8:dim,73
603,8:dim7/9,8:dim7,97
604,8:maj9(#11),8:maj7,26
605,9:5(b7),9:maj,29
606,"9:7(b9,#11)",9:7,31
607,9:hdim7/b3,9:hdim7,114
608,9:maj(11)/b7,9:maj,29
609,9:sus4(b7)/9,9:sus4(b7),55
610,0:1(b3),0:maj,1
611,0:7(#11),0:7,12
612,0:maj/b3,0:maj,1
613,0:maj6(7),0:maj,1
614,"0:maj6(b7,11)",0:maj,1
615,0:maj7(#5),0:maj7,20
616,0:maj7/9,0:maj7,20
617,0:min11/5,0:min7,13
618,0:sus4/7,0:sus4,35
619,1:13,1:7,87
620,1:sus4(9),1:sus4,133
621,10:maj(9)/13,10:maj,4
622,10:maj(9)/3,10:maj,4
623,10:maj6(b9),10:maj,4
624,10:maj7(#9),10:maj7,61
625,10:maj7/3,10:maj7,61
626,10:maj9/11,10:maj7,61
627,10:min(9),10:min,81
628,10:sus4/b7,10:sus4,38
629,11:hdim7/11,11:hdim7,63
630,11:maj7,11:maj7,91
631,11:min/7,11:min,50
632,11:min/bb7,11:min,50
633,11:min7/11,11:min7,53
634,11:min7/b9,11:min7,53
635,"11:sus4(b7,9)",11:sus4(b7),134
636,2:7/13,2:7,28
637,2:7/5,2:7,28
638,2:maj/13,2:maj,18
639,2:min/13,2:min,10
640,2:sus4(b7)/b7,2:sus4(b7),64
641,3:7(#9),3:7,54
642,3:aug(b7),3:aug,135
643,3:maj13,3:maj7,40
644,3:maj6(9),3:maj,11
645,3:maj6(b7),3:maj,11
646,3:sus4(b7),3:sus4(b7),122
647,4:7/11,4:7,33
648,4:9,4:7,33
649,4:dim,4:dim,111
650,4:maj/3,4:maj,32
651,4:maj6/13,4:maj,32
652,4:min/b1,4:min,17
653,4:min7/b7,4:min7,16
654,4:sus2,4:sus2,136
655,5:7/11,5:7,15
656,5:min6(#11),5:min,21
657,5:min6(7),5:min,21
658,5:min6(9)/5,5:min,21
659,5:sus2(#11),5:sus2,45
660,"6:1(b5,b7,3)",6:maj,34
661,6:min9,6:min7,76
662,6:sus4(b7),6:sus4(b7),113
663,7:1(3)/3,7:maj,3
664,"7:1(b5,b7,3)/b5",7:maj,3
665,7:7(b9)/11,7:7,7
666,7:7/b5,7:7,7
667,7:maj(9)/3,7:maj,3
668,7:maj/b3,7:maj,3
669,7:maj6/b7,7:maj,3
670,7:maj9,7:maj7,41
671,7:min(9)/7,7:min,24
672,7:min11,7:min7,27
673,7:min11/b3,7:min7,27
674,7:min6/9,7:min,24
675,7:min7/b7,7:min7,27
676,7:sus4(b7)/5,7:sus4(b7),25
677,7:sus4/b7,7:sus4,23
678,8:1(3),8:maj,9
679,8:5/5,8:maj,9
680,"8:aug(b7,9)",8:aug,137
681,"8:maj(9,#11)",8:maj,9
682,8:maj(9)/3,8:maj,9
683,8:maj(b9),8:maj,9
684,8:maj/b7,8:maj,9
685,"8:maj6(7,#11)",8:maj,9
686,9:7(#9),9:7,31
687,9:hdim7/b5,9:hdim7,114
688,9:maj6,9:maj,29
689,9:min11/5,9:min7,14
690,9:min7/5,9:min7,14
691,"9:sus4(b7,9)/9",9:sus4(b7),55
692,9:sus4(b7)/11,9:sus4(b7),55
