"key","value"
110,"7:7/3"
111,"8:maj9"
112,"5:13"
113,"7:9"
114,"2:sus4"
115,"5:min6/5"
116,"10:maj/b7"
117,"0:min/11"
118,"2:hdim7"
119,"0:7/b7"
120,"11:min"
121,"7:aug(b7)"
122,"10:maj/11"
123,"6:maj/5"
124,"7:min9"
125,"0:min11"
126,"5:sus4(b7)"
127,"5:sus4(b7,9)"
128,"7:min/b7"
129,"8:5"
130,"0:maj7/7"
131,"0:min/5"
132,"10:maj(9)"
133,"11:min7"
134,"3:maj/3"
135,"0:min6"
136,"0:min7/13"
137,"0:min7/b7"
138,"9:min/b7"
139,"0:maj6(9)"
140,"3:7"
141,"5:11"
142,"0:maj/9"
143,"0:min(b13)"
144,"7:maj/9"
145,"9:min(11)"
146,"9:sus4(b7,9)"
147,"7:maj/b7"
148,"8:min7"
149,"10:11"
150,"10:sus4(b7,9)"
151,"7:13"
152,"7:7/11"
153,"10:sus2/9"
154,"3:sus4"
155,"4:min/b3"
156,"11:7"
157,"8:maj/7"
158,"9:min7(11)"
159,"0:maj(#9)"
160,"0:sus4(9)"
161,"10:maj7"
162,"2:9"
163,"3:maj/13"
164,"6:dim"
165,"0:min(9)"
166,"10:maj6(9)"
167,"10:maj9"
168,"5:maj6/5"
169,"5:maj9/3"
170,"7:maj7/9"
171,"2:min11"
172,"4:min/5"
173,"7:min/b3"
174,"0:7/3"
175,"11:hdim7"
176,"11:maj/5"
177,"2:sus4(b7)"
178,"5:sus4/5"
179,"6:7"
180,"7:sus4(9)"
181,"0:maj/13"
182,"10:sus4(b7)"
183,"9:1"
184,"4:sus4(b7)"
185,"5:min6"
186,"8:9"
187,"5:maj(9)/5"
188,"7:7(#9)"
189,"2:min7/b3"
190,"5:maj13"
191,"5:min11"
192,"8:maj/5"
193,"10:maj7/9"
194,"2:5"
195,"6:1"
196,"7:min/11"
197,"1:maj7"
198,"2:1(b3,b7)/b7"
199,"5:5(b7)"
200,"5:9"
201,"5:min/b3"
202,"10:min7/9"
203,"2:min7/11"
204,"3:7/13"
205,"3:min"
206,"1:dim"
207,"1:maj/5"
208,"4:aug(b7)"
209,"6:maj9"
210,"0:maj(9)/3"
211,"8:maj6"
212,"3:maj(9)"
213,"3:min9"
214,"4:min11"
215,"5:min7/5"
216,"8:maj7(#11)"
217,"8:min7/b7"
218,"1:maj9"
219,"3:5/13"
220,"4:1"
221,"6:min"
222,"8:dim"
223,"9:min11"
224,"1:min6"
225,"2:7/3"
226,"2:hdim7/b7"
227,"5:7/3"
228,"2:maj7"
229,"5:min7(11)"
230,"5:sus4(b7,9,13)"
231,"6:min7"
232,"7:maj/13"
233,"9:sus4(b7)"
234,"0:9"
235,"11:maj6/5"
236,"2:maj/3"
237,"2:min7(11)"
238,"9:9"
239,"0:min7/b3"
240,"4:7/3"
241,"7:min/5"
242,"9:min7/b7"
243,"0:maj(11)"
244,"10:sus4(b7,9,13)"
245,"2:dim7"
246,"2:min6"
247,"3:dim"
248,"3:sus2"
249,"4:7/5"
250,"5:dim7"
251,"6:7(#11)"
252,"8:maj6(9)"
253,"8:min9"
254,"1:1"
255,"2:min/5"
256,"2:min7/b7"
257,"5:5/5"
258,"6:maj7"
259,"7:9/5"
260,"0:maj/11"
261,"0:maj6/3"
262,"10:9"
263,"10:min9"
264,"4:maj/9"
265,"4:min(9)"
266,"5:maj7/9"
267,"6:maj/bb13"
268,"8:maj6/5"
269,"8:maj7/3"
270,"10:min"
271,"6:hdim7"
272,"6:maj/9"
273,"7:7(b13)"
274,"9:min/11"
275,"9:min/b3"
276,"0:maj6/13"
277,"0:sus4(b7)/b7"
278,"3:maj6"
279,"5:maj6/9"
280,"7:5(b7)"
281,"0:7/13"
282,"0:7/5"
283,"0:sus2(b7)"
284,"10:7(#11)"
285,"11:5"
286,"2:1(b3,b7,11,9)"
287,"0:min7/11"
288,"0:min7/9"
289,"1:maj(9)"
290,"10:min/5"
291,"11:1(b3,b7,11,9)"
292,"2:minmaj7/5"
293,"3:maj(11)"
294,"3:maj/9"
295,"3:maj9"
296,"4:min9"
297,"7:sus4/5"
298,"9:min(9)"
299,"9:sus4"
300,"0:1(11)"
301,"0:5/5"
302,"0:dim"
303,"1:7"
304,"2:7/b7"
305,"3:min7/11"
306,"5:maj9(13,#11)"
307,"5:min(9)"
308,"7:7(b9,b13)"
309,"9:dim/b3"
310,"9:min7/b3"
311,"0:aug"
312,"10:1(3)/9"
313,"11:1"
314,"11:dim"
315,"11:maj9"
316,"2:maj(9)"
317,"4:sus4"
318,"5:maj6(9)/5"
319,"5:maj7/3"
320,"5:min9/5"
321,"7:1(11)"
322,"7:5(b7)/3"
323,"7:5(b7)/9"
324,"7:7/b7"
325,"7:aug"
326,"7:maj/7"
327,"7:min7/11"
328,"8:maj13"
329,"0:1(b7)"
330,"0:min(11)"
331,"0:min/b13"
332,"1:maj/7"
333,"2:9/3"
334,"3:maj/b7"
335,"6:maj6"
336,"7:maj6/3"
337,"7:min(11)"
338,"7:sus4(b7,9,13)"
339,"7:sus4/9"
340,"0:5(b7)"
341,"0:maj7/5"
342,"1:maj(#11)"
343,"1:maj7/7"
344,"1:min"
345,"10:1(b7)"
346,"10:maj/13"
347,"10:maj13"
348,"10:maj6/9"
349,"11:9"
350,"11:maj/b9"
351,"11:maj7/9"
352,"2:1(11)"
353,"2:11"
354,"2:maj/b11"
355,"2:minmaj7"
356,"2:sus4(b7)/11"
357,"4:hdim7"
358,"4:maj/#11"
359,"5:1(b5,b7,3)"
360,"5:5/11"
361,"5:hdim7"
362,"5:min(11)"
363,"5:sus4(b7)/11"
364,"6:dim7"
365,"6:maj/3"
366,"7:5(b7)/b7"
367,"7:5/11"
368,"7:dim"
369,"7:maj(11)"
370,"8:11"
371,"8:dim7"
372,"8:min"
373,"8:min7/5"
374,"8:sus2"
375,"9:maj/5"
376,"0:maj6/b5"
377,"0:sus4(b7)/5"
378,"10:13"
379,"10:9(13,#11)"
380,"2:dim/b7"
381,"2:min(9)"
382,"2:sus4(b7,9)"
383,"4:5"
384,"4:maj/5"
385,"4:maj7"
386,"5:min6/b3"
387,"7:maj6(9)"
388,"7:sus2(b7)"
389,"9:7(b9)/3"
390,"9:7/3"
391,"9:dim"
392,"9:maj/11"
393,"0:11"
394,"0:maj13"
395,"0:min13"
396,"0:min7(b13)"
397,"0:min9/b7"
398,"1:7(#11)"
399,"1:min7"
400,"10:maj/7"
401,"10:sus4(9)"
402,"11:maj/b13"
403,"2:min/3"
404,"5:7/b7"
405,"5:maj6/3"
406,"5:min7/b3"
407,"5:sus2(b7)"
408,"7:hdim7"
409,"7:maj(#9)"
410,"7:maj7/3"
411,"7:min6"
412,"7:min7/5"
413,"7:sus4/11"
414,"8:min6"
415,"8:sus4"
416,"8:sus4(b7)"
417,"9:min7/11"
418,"9:minmaj7"
419,"0:1(#5)"
420,"0:7(b9)"
421,"0:maj6/5"
422,"10:dim"
423,"11:aug(b7)/3"
424,"2:maj/7"
425,"2:min11/b3"
426,"2:min7/5"
427,"3:9"
428,"3:maj(9)/3"
429,"3:maj7/5"
430,"4:dim/b5"
431,"5:1(b7)"
432,"5:aug"
433,"5:maj(9)/3"
434,"6:5"
435,"6:sus4(b7,9)"
436,"7:7/b11"
437,"8:maj/13"
438,"9:7(b9)"
439,"9:hdim7"
440,"9:min/7"
441,"0:13"
442,"0:aug(9)"
443,"0:maj7/3"
444,"0:minmaj7"
445,"0:sus2/9"
446,"0:sus4/b7"
447,"1:9"
448,"1:dim/b3"
449,"1:dim/b5"
450,"1:maj/b5"
451,"10:sus2"
452,"2:1(b5,11)"
453,"2:7(#11)"
454,"2:9(#11)"
455,"2:hdim7/b5"
456,"2:maj/9"
457,"2:maj6"
458,"2:min/9"
459,"2:min9/11"
460,"2:min9/b3"
461,"3:hdim7/b7"
462,"3:maj6(9)/3"
463,"3:maj6/5"
464,"3:min/b7"
465,"4:7(b13)/3"
466,"4:7(b9,b13)"
467,"4:aug"
468,"4:min/b7"
469,"4:min7/b3"
470,"5:9/5"
471,"5:maj(9)/9"
472,"5:maj/b7"
473,"5:min/11"
474,"6:aug"
475,"6:dim/b9"
476,"7:5(b7)/5"
477,"7:9(b13)"
478,"7:min7/b3"
479,"8:min/b3"
480,"9:11"
481,"9:7/5"
482,"9:maj/b7"
483,"9:maj7"
484,"9:sus2(b7)"
485,"0:1(11,9)"
486,"0:aug/5"
487,"1:sus4(b7,9)"
488,"10:5(b7)"
489,"10:5/9"
490,"10:7/b3"
491,"10:7/b7"
492,"10:aug"
493,"10:maj7(#11)"
494,"10:maj7(#11)/3"
495,"11:dim/b5"
496,"11:min/b7"
497,"2:7(b9,b13)"
498,"2:dim"
499,"2:maj(9)/3"
500,"2:maj6(9)/5"
501,"2:min(b13)"
502,"2:minmaj7/7"
503,"3:7/3"
504,"3:min(9)"
505,"3:sus4(b7,9)"
506,"4:7(#11)"
507,"4:7(#9)"
508,"4:7(b13)"
509,"4:7(b9)/5"
510,"4:7(b9)/b7"
511,"4:hdim7/b7"
512,"4:sus4(9)"
513,"4:sus4(b7,9)"
514,"5:7(#9)"
515,"5:dim"
516,"5:maj/11"
517,"5:maj6(7)"
518,"5:min/b7"
519,"5:min6/9"
520,"5:min7/b7"
521,"7:7(b9)/b9"
522,"7:maj(9)/5"
523,"7:maj6/11"
524,"7:maj9/3"
525,"7:min(9)"
526,"7:min7(11)"
527,"8:hdim7"
528,"8:sus4(b7,9)"
529,"9:1(b5,b7,3)/b5"
530,"9:maj9"
531,"9:min(11)/7"
532,"9:min/5"
533,"0:5(b13)"
534,"0:7(b13)"
535,"0:maj(9)/5"
536,"0:maj/#11"
537,"0:maj7(#11)"
538,"0:maj9(#11)"
539,"0:maj9(13)"
540,"0:min(9)/13"
541,"0:min(9)/b7"
542,"0:min/9"
543,"1:5"
544,"1:9(13)"
545,"1:aug"
546,"1:dim/#11"
547,"1:maj/3"
548,"1:maj/9"
549,"1:maj6"
550,"10:7(b9)"
551,"10:maj9/3"
552,"10:minmaj7"
553,"10:sus2(b7)"
554,"11:1(b5,b7,3)"
555,"11:dim7/b3"
556,"11:hdim7/b3"
557,"11:maj/b11"
558,"2:1(b5,b7,3)"
559,"2:13"
560,"2:5(b7)"
561,"2:7(b13)"
562,"2:7(b9)/3"
563,"2:maj9"
564,"2:min(11)/11"
565,"2:min(11)/b7"
566,"2:sus2"
567,"3:1(b5,b7,3)"
568,"3:maj7/3"
569,"3:min7/5"
570,"3:minmaj7"
571,"3:sus4/b7"
572,"4:7(b9)"
573,"4:min9(b13)"
574,"5:7(#11)"
575,"5:7(b9)"
576,"5:maj(#11)"
577,"5:min(9)/5"
578,"5:min/3"
579,"5:min/9"
580,"5:min7/11"
581,"5:min9/11"
582,"5:minmaj7/5"
583,"5:sus2/3"
584,"5:sus4(9)"
585,"5:sus4(b7,9,#11)"
586,"6:9"
587,"6:dim(b13)"
588,"6:hdim7/b3"
589,"7:7(11)"
590,"7:7(b13,#9)"
591,"7:7(b9)/3"
592,"7:7/13"
593,"7:7/9"
594,"7:maj(11)/11"
595,"7:maj6(b7)"
596,"7:maj7(b7)/3"
597,"7:min9/9"
598,"7:sus2"
599,"7:sus4(9)/7"
600,"7:sus4(b7,9)/5"
601,"8:1(b5,b7,3)"
602,"8:dim/7"
603,"8:dim7/9"
604,"8:maj9(#11)"
605,"9:5(b7)"
606,"9:7(b9,#11)"
607,"9:hdim7/b3"
608,"9:maj(11)/b7"
609,"9:sus4(b7)/9"
610,"0:1(b3)"
611,"0:7(#11)"
612,"0:maj/b3"
613,"0:maj6(7)"
614,"0:maj6(b7,11)"
615,"0:maj7(#5)"
616,"0:maj7/9"
617,"0:min11/5"
618,"0:sus4/7"
619,"1:13"
620,"1:sus4(9)"
621,"10:maj(9)/13"
622,"10:maj(9)/3"
623,"10:maj6(b9)"
624,"10:maj7(#9)"
625,"10:maj7/3"
626,"10:maj9/11"
627,"10:min(9)"
628,"10:sus4/b7"
629,"11:hdim7/11"
630,"11:maj7"
631,"11:min/7"
632,"11:min/bb7"
633,"11:min7/11"
634,"11:min7/b9"
635,"11:sus4(b7,9)"
636,"2:7/13"
637,"2:7/5"
638,"2:maj/13"
639,"2:min/13"
640,"2:sus4(b7)/b7"
641,"3:7(#9)"
642,"3:aug(b7)"
643,"3:maj13"
644,"3:maj6(9)"
645,"3:maj6(b7)"
646,"3:sus4(b7)"
647,"4:7/11"
648,"4:9"
649,"4:dim"
650,"4:maj/3"
651,"4:maj6/13"
652,"4:min/b1"
653,"4:min7/b7"
654,"4:sus2"
655,"5:7/11"
656,"5:min6(#11)"
657,"5:min6(7)"
658,"5:min6(9)/5"
659,"5:sus2(#11)"
660,"6:1(b5,b7,3)"
661,"6:min9"
662,"6:sus4(b7)"
663,"7:1(3)/3"
664,"7:1(b5,b7,3)/b5"
665,"7:7(b9)/11"
666,"7:7/b5"
667,"7:maj(9)/3"
668,"7:maj/b3"
669,"7:maj6/b7"
670,"7:maj9"
671,"7:min(9)/7"
672,"7:min11"
673,"7:min11/b3"
674,"7:min6/9"
675,"7:min7/b7"
676,"7:sus4(b7)/5"
677,"7:sus4/b7"
678,"8:1(3)"
679,"8:5/5"
680,"8:aug(b7,9)"
681,"8:maj(9,#11)"
682,"8:maj(9)/3"
683,"8:maj(b9)"
684,"8:maj/b7"
685,"8:maj6(7,#11)"
686,"9:7(#9)"
687,"9:hdim7/b5"
688,"9:maj6"
689,"9:min11/5"
690,"9:min7/5"
691,"9:sus4(b7,9)/9"
692,"9:sus4(b7)/11"
