"symbol","model_order","information_content","entropy","IC_norm","Ent_norm"
"iii",4,6.69018471385052,6.315243448179,0.487951558171132,-1.93089238894277
"IV",3,5.57245943077194,7.83188226323434,-0.0266743061021984,0.333554609731857
"V7",3,6.17558063914026,8.00025486715545,0.251016265827274,0.584946591674688
"V",3,7.34025143869465,7.80536731236325,0.787256901955437,0.293965948065003
"ii7",3,8.11719815109258,7.72371848312648,1.14498064625585,0.172058579959199
"V7",2,5.92684408478663,8.19566526404875,0.136492360715245,0.876707874824168
"ii7",3,4.00939153759406,7.74349040808607,-0.746345926331629,0.201579436005027
"V7",4,2.36372297536872,7.17415475450598,-1.5040487527453,-0.648478204080394
"I",5,4.16453979382275,7.23533539931626,-0.674912179004848,-0.557131255721723
"V7",5,6.88094812176631,7.54975064459343,0.575783322520232,-0.08768747554295
"I",4,1.47285954225845,6.06144425257258,-1.91422231789105,-2.30983220048651
"VI7b",5,8.96608411628603,7.50458410364613,1.53582684086275,-0.155124255528628
"ii7",1,8.18822020915087,8.26610932179259,1.17768079947243,0.981885741531131
"V7",1,6.44637767577714,8.28257781681877,0.375697313247146,1.00647434744345
"ii7",2,5.89676625085793,8.07380065148191,0.122643849354391,0.694755551415144
"V7",3,3.24117498098588,7.66102700360288,-1.10005011051601,0.0784558505285211
"I",4,3.98083906390584,7.76257317558333,-0.759492127523812,0.23007133213522
"V7",5,6.88094812176631,7.54975064459343,0.575783322520232,-0.08768747554295
"I",4,1.47285954225845,6.06144425257258,-1.91422231789105,-2.30983220048651
"VI7b",5,8.96608411628603,7.50458410364613,1.53582684086275,-0.155124255528628
"ii7",1,8.18822020915087,8.26610932179259,1.17768079947243,0.981885741531131
"V7",1,6.44637767577714,8.28257781681877,0.375697313247146,1.00647434744345
"ii7",2,5.89676625085793,8.07380065148191,0.122643849354391,0.694755551415144
"V7",3,3.24117498098588,7.66102700360288,-1.10005011051601,0.0784558505285211
"I",4,3.98083906390584,7.76257317558333,-0.759492127523812,0.23007133213522
"V7",5,6.88094812176631,7.54975064459343,0.575783322520232,-0.08768747554295
"I",4,1.47285954225845,6.06144425257258,-1.91422231789105,-2.30983220048651
"VI7b",5,8.96608411628603,7.50458410364613,1.53582684086275,-0.155124255528628
"ii7",1,8.18822020915087,8.26610932179259,1.17768079947243,0.981885741531131
"V7",1,6.44637767577714,8.28257781681877,0.375697313247146,1.00647434744345
"ii7",2,5.89676625085793,8.07380065148191,0.122643849354391,0.694755551415144
"V7",3,3.24117498098588,7.66102700360288,-1.10005011051601,0.0784558505285211
"I",4,3.98083906390584,7.76257317558333,-0.759492127523812,0.23007133213522
"V7",5,6.88094812176631,7.54975064459343,0.575783322520232,-0.08768747554295
"I",4,1.47285954225845,6.06144425257258,-1.91422231789105,-2.30983220048651
"VI7b",5,8.96608411628603,7.50458410364613,1.53582684086275,-0.155124255528628
"ii7",1,8.18822020915087,8.26610932179259,1.17768079947243,0.981885741531131
"V7",1,6.44637767577714,8.28257781681877,0.375697313247146,1.00647434744345
"ii7",2,5.89676625085793,8.07380065148191,0.122643849354391,0.694755551415144
"V7",3,3.24117498098588,7.66102700360288,-1.10005011051601,0.0784558505285211
"I",4,3.98083906390584,7.76257317558333,-0.759492127523812,0.23007133213522
"V7",5,6.88094812176631,7.54975064459343,0.575783322520232,-0.08768747554295
"I",4,1.47285954225845,6.06144425257258,-1.91422231789105,-2.30983220048651
"VI7b",5,8.96608411628603,7.50458410364613,1.53582684086275,-0.155124255528628
"ii7",1,8.18822020915087,8.26610932179259,1.17768079947243,0.981885741531131
"V7",1,6.44637767577714,8.28257781681877,0.375697313247146,1.00647434744345
"I7",2,5.21559507511672,8.07380065148191,-0.190982683337413,0.694755551415144
"r;",3,5.95362468561668,8.15755921553633,0.148822751784116,0.819812900009644
"r;",3,1.20213450046871,5.39435414360968,-2.03887021726373,-3.30584402617056
"r;",2,4.13054529748395,7.61360277398314,-0.690564009847133,0.00764818468162198
"r;",3,2.64749579136112,6.91398417171835,-1.37339336461171,-1.03693093883081
